,microRNA,Protein,mRNA
0,hsa-miR-485-5p,Q96JE9-1,ENSG00000152092
1,hsa-miR-433-3p,Q99719-1,ENSG00000179915
2,hsa-miR-668-3p,P78324,ENSG00000158008
3,hsa-miR-139-3p,Q13367,ENSG00000198797
4,hsa-miR-370-3p,P40926,ENSG00000166165
5,hsa-miR-323a-5p,P38606,ENSG00000073670
6,hsa-miR-504-5p,O43761,ENSG00000177380
7,hsa-miR-139-5p,Q9ULU8-1,ENSG00000182667
8,hsa-miR-885-5p,Q02218,ENSG00000197444
9,hsa-miR-129-5p,P09471-1,ENSG00000205593
10,hsa-miR-329-3p,Q9BY11,ENSG00000203772
11,hsa-miR-485-3p,P17677-1,ENSG00000137261
12,hsa-miR-149-5p,O60313-2,ENSG00000105576
13,hsa-miR-128-1-5p,P11137,ENSG00000040731
14,hsa-miR-6842-3p,O94925-1,ENSG00000135119
15,hsa-miR-331-3p,P31930,ENSG00000156298
16,hsa-miR-125b-5p,P63027,ENSG00000236279
17,hsa-miR-1301-3p,Q8N987-1,ENSG00000162975
18,hsa-miR-487b-3p,Q9Y285,ENSG00000008735
19,hsa-miR-6511b-3p,P20020,ENSG00000197457
20,hsa-miR-3059-5p,Q14982-4,ENSG00000125841
21,hsa-miR-935,Q9NYI0-1,ENSG00000196220
22,hsa-miR-1180-3p,P13637-3,ENSG00000204052
23,hsa-miR-125a-5p,P09622,ENSG00000172731
24,hsa-miR-744-5p,Q9Y2J2,ENSG00000196972
25,hsa-miR-491-5p,O15020,ENSG00000089847
26,hsa-miR-1343-3p,Q9Y2J0-1,ENSG00000072832
27,hsa-miR-377-5p,Q8N573-1,ENSG00000144583
28,hsa-miR-885-3p,Q16799-1,ENSG00000124507
29,hsa-miR-323a-3p,Q9Y4E6-1,ENSG00000184524
30,hsa-miR-328-3p,O14994,ENSG00000178947
31,hsa-miR-1843,Q9NQ66-1,ENSG00000149260
32,hsa-miR-1247-5p,Q9BQI5-2,ENSG00000169884
33,hsa-miR-487a-5p,Q00765,ENSG00000160469
34,hsa-miR-6511a-3p,O15240,ENSG00000164398
35,hsa-miR-409-5p,P40123,ENSG00000256925
36,hsa-miR-760,Q6H8Q1-5,ENSG00000103034
37,hsa-miR-409-3p,O75380,ENSG00000158748
38,hsa-miR-212-3p,Q8N3J6-3,ENSG00000277200
39,hsa-miR-132-3p,Q9H936,ENSG00000135439
40,hsa-miR-5010-3p,P68366,ENSG00000165238
41,hsa-miR-346,Q13153,ENSG00000151376
42,hsa-miR-423-3p,P20336,ENSG00000036530
43,hsa-miR-30b-3p,Q15120-2,ENSG00000109832
44,hsa-miR-132-5p,P10809,ENSG00000106683
45,hsa-miR-940,P61981,ENSG00000091622
46,hsa-miR-191-5p,Q05193-2,ENSG00000198010
47,hsa-miR-487b-5p,Q9P260-2,ENSG00000108309
48,hsa-miR-212-5p,P21796,ENSG00000116254
49,hsa-miR-769-5p,Q86WG3-3,ENSG00000132563
50,hsa-miR-129-2-3p,Q9Y639-5,ENSG00000091129
51,hsa-miR-323b-3p,Q99946,ENSG00000185565
52,hsa-miR-1302,P04216,ENSG00000138028
53,hsa-miR-137-5p,Q9UQB8,ENSG00000152556
54,hsa-miR-431-3p,Q01484,ENSG00000104059
55,hsa-miR-2110,P58549,ENSG00000141750
56,hsa-let-7e-5p,Q6VY07,ENSG00000171224
57,hsa-miR-873-3p,Q8N126-2,ENSG00000089169
58,hsa-miR-134-5p,Q14141-1,ENSG00000171450
59,hsa-miR-193b-5p,P19367-1,ENSG00000139767
60,hsa-miR-125b-2-3p,P35609-2,ENSG00000166924
61,hsa-let-7d-3p,P54289-2,ENSG00000167702
62,hsa-miR-433-5p,P00505,ENSG00000054356
63,hsa-miR-877-5p,Q00577,ENSG00000188573
64,hsa-miR-874-3p,O75746,ENSG00000145934
65,hsa-miR-105-5p,P11177,ENSG00000176406
66,hsa-miR-432-5p,P46459,ENSG00000159753
67,hsa-miR-1224-5p,P21281,ENSG00000196465
68,hsa-miR-671-3p,Q9NR46-2,ENSG00000134775
69,hsa-miR-330-3p,Q14194-2,ENSG00000204851
70,hsa-miR-1298-3p,P61764,ENSG00000103723
71,hsa-miR-769-3p,Q9Y6I3-1,ENSG00000155093
72,hsa-miR-3200-3p,P49418,ENSG00000104112
73,hsa-miR-138-2-3p,Q7Z3B1,ENSG00000137218
74,hsa-miR-543,Q92558,ENSG00000166111
75,hsa-miR-1249-3p,Q9Y5K8,ENSG00000106123
76,hsa-miR-375-3p,P61764-2,ENSG00000133958
77,hsa-miR-342-5p,Q12860,ENSG00000110786
78,hsa-miR-1306-5p,P31323,ENSG00000162105
79,hsa-miR-383-5p,P11476-1,ENSG00000139200
80,hsa-miR-522-3p,P17600,ENSG00000177542
81,hsa-miR-222-3p,P28331-2,ENSG00000078725
82,hsa-miR-382-5p,Q9Y697,ENSG00000175229
83,hsa-miR-767-5p,Q8TDJ6-3,ENSG00000173898
84,hsa-miR-29b-2-5p,P07954,ENSG00000144406
85,hsa-miR-423-5p,P49821,ENSG00000187122
86,hsa-miR-129-1-3p,Q96CW1,ENSG00000023171
87,hsa-miR-138-5p,P05026,ENSG00000187672
88,hsa-miR-146b-3p,P43004-1,ENSG00000100321
89,hsa-miR-758-5p,Q9ULD0,ENSG00000125966
90,hsa-miR-128-3p,Q16623,ENSG00000196990
91,hsa-miR-490-3p,Q9UPP5-2,ENSG00000103269
92,hsa-let-7e-3p,P37840-1,ENSG00000171798
93,hsa-miR-1307-3p,P31321,ENSG00000166448
94,hsa-miR-654-5p,P30049,ENSG00000059915
95,hsa-miR-329-5p,Q04917,ENSG00000102385
96,hsa-miR-1228-3p,Q9HCM2,ENSG00000160145
97,hsa-miR-127-3p,P48047,ENSG00000130643
98,hsa-miR-1296-5p,P15154-1,ENSG00000165985
99,hsa-miR-671-5p,Q6PUV4,ENSG00000168993
100,hsa-miR-766-3p,Q8WXF7,ENSG00000160097
101,hsa-miR-495-3p,Q9NYB9,ENSG00000146938
102,hsa-miR-1185-1-3p,Q9NQC3,ENSG00000114923
103,hsa-miR-494-3p,Q9Y6V0-5,ENSG00000121905
104,hsa-miR-7-2-3p,Q9BPW8,ENSG00000124772
105,hsa-miR-23b-5p,P21579,ENSG00000127585
106,hsa-miR-185-3p,P21283,ENSG00000183837
107,hsa-miR-324-3p,P51649-1,ENSG00000110076
108,hsa-miR-1306-3p,P61266,ENSG00000189410
109,hsa-miR-135a-2-3p,P05129,ENSG00000185274
110,hsa-miR-5100,Q9H1K1,ENSG00000101489
111,hsa-miR-490-5p,Q00610-1,ENSG00000099814
112,hsa-miR-4787-3p,P78352-2,ENSG00000178773
113,hsa-miR-889-5p,Q9BY67-5,ENSG00000124313
114,hsa-miR-30d-5p,P35612-1,ENSG00000138175
115,hsa-miR-127-5p,Q8NCB2-3,ENSG00000092051
116,hsa-miR-125b-1-3p,Q99798,ENSG00000122733
117,hsa-miR-342-3p,Q96C19,ENSG00000270607
118,hsa-miR-582-5p,P49802-1,ENSG00000008118
119,hsa-miR-2682-5p,Q9UI12-1,ENSG00000154914
120,hsa-miR-134-3p,Q6NV74,ENSG00000099960
121,hsa-miR-326,Q9UPY8,ENSG00000120645
122,hsa-miR-99b-3p,O43768,ENSG00000178233
123,hsa-miR-191-3p,P12236,ENSG00000149179
124,hsa-miR-124-3p,Q9ULP9,ENSG00000106089
125,hsa-miR-299-5p,Q9UPV7,ENSG00000135519
126,hsa-miR-193a-5p,P19404,ENSG00000110148
127,hsa-miR-501-3p,Q96ME1,ENSG00000176884
128,hsa-miR-3943,O75390,ENSG00000129990
129,hsa-miR-361-3p,Q15286,ENSG00000228594
130,hsa-miR-770-5p,Q9UHG2,ENSG00000156097
131,hsa-miR-874-5p,P20674,ENSG00000076864
132,hsa-miR-92b-5p,Q7L1I2,ENSG00000143786
133,hsa-miR-664a-3p,O75306-1,ENSG00000066248
134,hsa-miR-382-3p,O95886,ENSG00000258986
135,hsa-miR-7977,Q01813,ENSG00000067798
136,hsa-miR-425-3p,Q8TBG9-2,ENSG00000271614
137,hsa-miR-103a-3p,P45880-1,ENSG00000221890
138,hsa-miR-197-3p,O95299,ENSG00000279069
139,hsa-miR-484,Q9GZM8-2,ENSG00000163013
140,hsa-miR-539-5p,P10515,ENSG00000063015
141,hsa-miR-331-5p,P13521,ENSG00000108797
142,hsa-miR-345-5p,P06576,ENSG00000099365
143,hsa-miR-370-5p,O94811,ENSG00000160460
144,hsa-miR-221-5p,Q9NPD7,ENSG00000186094
145,hsa-miR-6516-5p,Q99962,ENSG00000161082
146,hsa-miR-203a-3p,O75251,ENSG00000162755
147,hsa-let-7b-3p,Q9BV79,ENSG00000167371
148,hsa-miR-31-5p,O95670-1,ENSG00000204442
149,hsa-miR-487a-3p,P61421,ENSG00000160716
150,hsa-miR-2681-3p,P55327-6,ENSG00000065989
151,hsa-miR-656-5p,O75061-2,ENSG00000204681
152,hsa-miR-23b-3p,P53677,ENSG00000100678
153,hsa-miR-758-3p,P17612,ENSG00000161267
154,hsa-miR-1303,P56211,ENSG00000170579
155,hsa-miR-425-5p,Q9UN86,ENSG00000163704
156,hsa-miR-652-3p,Q9UPA5,ENSG00000144868
157,hsa-miR-203b-3p,Q02338,ENSG00000167654
158,hsa-miR-1260a,Q16718,ENSG00000011083
159,hsa-miR-29b-1-5p,Q92974,ENSG00000171130
160,hsa-miR-125a-3p,O94772-2,ENSG00000007402
161,hsa-miR-1251-5p,Q15700-3,ENSG00000197283
162,hsa-miR-551b-3p,Q9Y5L4,ENSG00000173227
163,hsa-miR-519a-5p,P63010-2,ENSG00000186472
164,hsa-miR-411-3p,Q9H4G0-1,ENSG00000196376
165,hsa-miR-18a-3p,O75145-1,ENSG00000108684
166,hsa-miR-138-1-3p,O00217,ENSG00000165495
167,hsa-miR-532-3p,P48735,ENSG00000157870
168,hsa-miR-3615,Q16864-2,ENSG00000104888
169,hsa-miR-412-5p,Q9Y5J7,ENSG00000164742
170,hsa-miR-130b-5p,P14854,ENSG00000105613
171,hsa-miR-324-5p,Q9UII2-1,ENSG00000002746
172,hsa-miR-503-5p,P01116-2,ENSG00000143502
173,hsa-miR-99b-5p,Q16181,ENSG00000174684
174,hsa-miR-124-5p,P07919,ENSG00000132359
175,hsa-miR-574-3p,Q9Y2T3,ENSG00000186642
176,hsa-miR-500a-3p,P32004,ENSG00000180155
177,hsa-miR-30c-1-3p,Q14289-1,ENSG00000127561
178,hsa-miR-1468-5p,Q9P1U1-1,ENSG00000134247
179,hsa-miR-150-5p,P29966,ENSG00000111716
180,hsa-miR-1270,Q9HD34,ENSG00000132535
181,hsa-miR-320a-3p,P55809,ENSG00000197177
182,hsa-miR-589-5p,Q9P2U7,ENSG00000288062
183,hsa-miR-431-5p,Q13885,ENSG00000069424
184,hsa-miR-424-3p,Q9Y4F5,ENSG00000141622
185,hsa-miR-195-3p,P31146,ENSG00000197106
186,hsa-miR-29c-5p,Q9H115,ENSG00000172020
187,hsa-miR-493-5p,Q16795,ENSG00000121753
188,hsa-miR-1260b,O14576-2,ENSG00000225978
189,hsa-miR-330-5p,P42658-2,ENSG00000150625
190,hsa-miR-106b-3p,P35232,ENSG00000005379
191,hsa-miR-6803-3p,P36543,ENSG00000165548
192,hsa-miR-665,P22695,ENSG00000235961
193,hsa-let-7c-5p,P24539,ENSG00000006432
194,hsa-miR-95-3p,Q92777-1,ENSG00000163288
195,hsa-miR-339-3p,Q5JTJ3-2,ENSG00000105696
196,hsa-miR-380-5p,O75781,ENSG00000058404
197,hsa-let-7b-5p,O60331-3,ENSG00000168539
198,hsa-miR-491-3p,Q13363-1,ENSG00000137267
199,hsa-miR-582-3p,Q15773,ENSG00000135298
200,hsa-miR-1250-5p,Q96ID5,ENSG00000116857
201,hsa-miR-496,Q9NSD9,ENSG00000182348
202,hsa-miR-221-3p,P09496-3,ENSG00000144550
203,hsa-miR-193b-3p,P30042-1,ENSG00000167733
204,hsa-miR-508-3p,O15126-1,ENSG00000130477
205,hsa-miR-1185-5p,P63215,ENSG00000089199
206,hsa-miR-98-3p,O43920,ENSG00000135749
207,hsa-miR-5683,Q92796,ENSG00000135423
208,hsa-miR-151a-5p,P25705-1,ENSG00000160963
209,hsa-miR-574-5p,O95182,ENSG00000079841
210,hsa-miR-411-5p,P49840,ENSG00000100095
211,hsa-miR-1283,O15294,ENSG00000124194
212,hsa-miR-122-5p,P60953-1,ENSG00000134030
213,hsa-miR-369-5p,Q6F5E8,ENSG00000107130
214,hsa-miR-93-3p,O95502,ENSG00000186732
215,hsa-miR-501-5p,Q13449,ENSG00000156959
216,hsa-miR-135a-5p,P08559,ENSG00000067840
217,hsa-miR-2113,Q92752,ENSG00000156395
218,hsa-miR-181c-3p,Q96FW1,ENSG00000198846
219,hsa-miR-618,Q9BRQ6,ENSG00000162706
220,hsa-miR-181a-5p,Q92686,ENSG00000168546
221,hsa-miR-211-5p,O60268-1,ENSG00000117598
222,hsa-miR-1287-5p,Q86YS7-4,ENSG00000101746
223,hsa-miR-181a-2-3p,O43759-1,ENSG00000165914
224,hsa-miR-873-5p,Q08174-2,ENSG00000116141
225,hsa-miR-592,Q9UH03-1,ENSG00000172602
226,hsa-miR-337-3p,Q7Z6L0-2,ENSG00000184117
227,hsa-miR-12136,Q08722,ENSG00000067191
228,hsa-miR-154-3p,P49841-2,ENSG00000152954
229,hsa-miR-1248,O75947-1,ENSG00000148408
230,hsa-miR-299-3p,P42704,ENSG00000008300
231,hsa-miR-941,P09936,ENSG00000145920
232,hsa-miR-135b-5p,Q13825,ENSG00000132361
233,hsa-miR-488-5p,O14531,ENSG00000157782
234,hsa-miR-376b-5p,P63096-1,ENSG00000184156
235,hsa-miR-656-3p,Q9Y2J2-4,ENSG00000241360
236,hsa-miR-103a-2-5p,Q86YM7-1,ENSG00000151952
237,hsa-miR-22-5p,O60220,ENSG00000176490
238,hsa-miR-664a-5p,Q9Y3A3,ENSG00000148082
239,hsa-miR-92b-3p,Q9H2X9-1,ENSG00000084764
240,hsa-let-7d-5p,Q9H6K5,ENSG00000139915
241,hsa-miR-410-3p,Q9UIW2,ENSG00000114023
242,hsa-miR-584-5p,P24534,ENSG00000184349
243,hsa-miR-486-5p,O14810,ENSG00000188191
244,hsa-miR-320b,P10114,ENSG00000184702
245,hsa-miR-365a-3p,P12814-3,ENSG00000111218
246,hsa-miR-365b-3p,P49411,ENSG00000164620
247,hsa-miR-548p,Q8TF74,ENSG00000168135
248,hsa-miR-887-3p,O43837-1,ENSG00000157470
249,hsa-miR-381-3p,Q9NV96,ENSG00000076826
