,microRNA,Protein,mRNA
0,hsa-miR-374a-5p,Q02218,ENSG00000152583
1,hsa-miR-1180-3p,O15240,ENSG00000115255
2,hsa-miR-668-3p,P35609-2,ENSG00000171476
3,hsa-miR-19a-3p,P07108-5,ENSG00000100348
4,hsa-miR-590-3p,O15020,ENSG00000124222
5,hsa-miR-744-5p,P00918,ENSG00000167100
6,hsa-miR-15a-5p,P11177,ENSG00000137103
7,hsa-miR-148b-5p,P49189,ENSG00000167011
8,hsa-miR-377-5p,Q15149-8,ENSG00000104112
9,hsa-miR-26a-2-3p,Q9UPV7,ENSG00000161395
10,hsa-miR-504-5p,Q9Y2J2,ENSG00000101220
11,hsa-miR-421,Q9BQI5-2,ENSG00000100897
12,hsa-miR-374a-3p,Q9P0V9-2,ENSG00000116754
13,hsa-miR-21-5p,Q9BPW8,ENSG00000261616
14,hsa-miR-940,P40121,ENSG00000088448
15,hsa-miR-485-3p,P10809,ENSG00000130724
16,hsa-miR-3613-5p,Q15119-1,ENSG00000132196
17,hsa-miR-139-5p,P55290-4,ENSG00000087995
18,hsa-miR-491-5p,P68366,ENSG00000116001
19,hsa-miR-576-3p,Q9BY11,ENSG00000102119
20,hsa-miR-140-5p,Q9Y4E6-1,ENSG00000136247
21,hsa-miR-576-5p,Q9UEY8-2,ENSG00000035115
22,hsa-miR-26a-5p,P06733-1,ENSG00000158747
23,hsa-miR-323a-5p,Q9Y2J8,ENSG00000160216
24,hsa-miR-26b-5p,P40123,ENSG00000063322
25,hsa-miR-342-5p,Q8WXF7,ENSG00000184270
26,hsa-miR-1296-5p,Q6UXD5-1,ENSG00000005379
27,hsa-miR-769-3p,O43813,ENSG00000279320
28,hsa-miR-548ad-5p,Q9Y2J0-1,ENSG00000281332
29,hsa-miR-628-3p,P23526-1,ENSG00000187912
30,hsa-miR-1306-3p,P19404,ENSG00000139624
31,hsa-miR-548ae-5p,P10768,ENSG00000105438
32,hsa-miR-548a-3p,Q06830,ENSG00000181350
33,hsa-miR-25-3p,P60201-1,ENSG00000251867
34,hsa-miR-28-5p,Q15334,ENSG00000279207
35,hsa-miR-148b-3p,O14745,ENSG00000089123
36,hsa-miR-874-3p,Q9UK22,ENSG00000279443
37,hsa-miR-149-5p,Q9ULP9,ENSG00000169598
38,hsa-miR-185-3p,Q92947-1,ENSG00000119522
39,hsa-miR-132-3p,P29762,ENSG00000276141
40,hsa-miR-301b-3p,O43157,ENSG00000005238
41,hsa-miR-548d-5p,Q8N126-2,ENSG00000259433
42,hsa-miR-2110,Q12979,ENSG00000101665
43,hsa-miR-195-5p,Q9Y5K8,ENSG00000176723
44,hsa-miR-433-3p,Q9NVA2-2,ENSG00000279434
45,hsa-miR-370-3p,P15259,ENSG00000279358
46,hsa-miR-1307-3p,Q8WZA0-2,ENSG00000144057
47,hsa-miR-326,Q99719-1,ENSG00000167658
48,hsa-miR-32-5p,P42704,ENSG00000174903
49,hsa-miR-29b-2-5p,Q9NQ66-1,ENSG00000241322
50,hsa-miR-454-3p,P0C0L5,ENSG00000197647
51,hsa-miR-192-5p,P28482,ENSG00000141086
52,hsa-miR-374b-5p,Q96MZ0,ENSG00000087111
53,hsa-miR-328-3p,Q9UI12-1,ENSG00000269918
54,hsa-miR-29b-3p,Q5SRE7-1,ENSG00000278615
55,hsa-let-7a-3p,Q9Y2T3,ENSG00000239961
56,hsa-miR-432-5p,Q16864-2,ENSG00000111481
57,hsa-miR-106b-3p,P21695-1,ENSG00000105419
58,hsa-miR-760,Q8N987-1,ENSG00000164967
59,hsa-miR-548ab,P59665,ENSG00000196312
60,hsa-miR-194-5p,Q9NQC3,ENSG00000169857
61,hsa-miR-340-5p,Q9BUT1-1,ENSG00000105619
62,hsa-miR-1301-3p,Q01518-1,ENSG00000095970
63,hsa-miR-4787-3p,Q9BTV5,ENSG00000228172
64,hsa-miR-142-5p,P48735,ENSG00000186665
65,hsa-miR-10b-5p,P60953,ENSG00000269959
66,hsa-miR-6842-3p,Q15120-2,ENSG00000246100
67,hsa-miR-1224-5p,P21912,ENSG00000183172
68,hsa-miR-337-5p,Q9BU61-1,ENSG00000142949
69,hsa-miR-369-5p,Q92823-5,ENSG00000237422
70,hsa-miR-935,O15075-1,ENSG00000158987
71,hsa-miR-2355-3p,P78324,ENSG00000119689
72,hsa-miR-16-5p,Q86WU2,ENSG00000171792
73,hsa-miR-487a-5p,P62995,ENSG00000264668
74,hsa-miR-186-5p,Q9HD34,ENSG00000080709
75,hsa-miR-324-3p,O95502,ENSG00000167487
76,hsa-miR-20a-5p,P50135,ENSG00000233670
77,hsa-miR-98-5p,Q13907-2,ENSG00000235529
78,hsa-miR-212-3p,Q96ID5,ENSG00000228058
79,hsa-miR-30e-3p,O75368,ENSG00000095303
80,hsa-miR-362-3p,Q9UQ16-3,ENSG00000230537
81,hsa-miR-212-5p,P10451-5,ENSG00000005882
82,hsa-miR-3912-3p,Q9Y265,ENSG00000224086
83,hsa-miR-146a-5p,P23434,ENSG00000183760
84,hsa-miR-485-5p,P38606,ENSG00000020577
85,hsa-miR-19b-3p,O14986-2,ENSG00000095321
86,hsa-miR-6511b-3p,P17655-1,ENSG00000108785
87,hsa-miR-379-3p,O95394-4,ENSG00000181016
88,hsa-miR-423-3p,Q9HCH3,ENSG00000252316
89,hsa-miR-136-5p,P49802-1,ENSG00000149179
90,hsa-miR-628-5p,P09622,ENSG00000167703
91,hsa-miR-3200-3p,Q9UMX0-1,ENSG00000146540
92,hsa-miR-331-3p,Q96CW1,ENSG00000277194
93,hsa-miR-361-5p,Q86UX6,ENSG00000103168
94,hsa-miR-548ay-5p,P49419-2,ENSG00000275830
95,hsa-miR-6803-3p,O00562,ENSG00000276550
96,hsa-miR-126-3p,P30519,ENSG00000270103
97,hsa-miR-885-3p,P60709,ENSG00000161643
98,hsa-miR-16-2-3p,Q13885,ENSG00000167302
99,hsa-let-7f-5p,Q9Y285,ENSG00000278611
100,hsa-miR-190a-5p,O43181,ENSG00000120457
101,hsa-miR-200a-3p,Q14353-1,ENSG00000029993
102,hsa-miR-1179,P48539,ENSG00000171163
103,hsa-miR-30c-5p,P49411,ENSG00000279764
104,hsa-miR-499a-5p,P51784,ENSG00000250327
105,hsa-miR-132-5p,P01860,ENSG00000264954
106,hsa-miR-346,P48444,ENSG00000130816
107,hsa-miR-517a-3p,Q9UHD1,ENSG00000228436
108,hsa-miR-517b-3p,A8MSI8,ENSG00000247982
109,hsa-miR-105-5p,Q13367,ENSG00000273100
110,hsa-miR-1228-3p,P04792,ENSG00000282608
111,hsa-miR-1249-3p,P16070,ENSG00000204310
112,hsa-miR-374b-3p,P05166-2,ENSG00000269176
113,hsa-miR-152-3p,P14621,ENSG00000186364
114,hsa-miR-1-3p,Q9NR46-2,ENSG00000015532
115,hsa-miR-484,Q8ND76,ENSG00000284747
116,hsa-miR-1303,P52209,ENSG00000129749
117,hsa-miR-411-3p,P01598,ENSG00000205929
118,hsa-miR-335-5p,O14974,ENSG00000164828
119,hsa-miR-126-5p,P13284,ENSG00000269388
120,hsa-miR-129-5p,P18859-2,ENSG00000178031
121,hsa-miR-125b-2-3p,O75390,ENSG00000026297
122,hsa-miR-876-3p,Q9Y3C8,ENSG00000124357
123,hsa-miR-12136,P49591,ENSG00000128928
124,hsa-miR-514a-3p,P08603-1,ENSG00000198797
125,hsa-miR-589-5p,P61601,ENSG00000004142
126,hsa-miR-539-3p,P32119,ENSG00000285999
127,hsa-miR-660-5p,Q9UJ70-2,ENSG00000137285
128,hsa-miR-337-3p,Q9Y4G6,ENSG00000266079
129,hsa-miR-197-3p,Q16643-3,ENSG00000180251
130,hsa-miR-877-5p,O14617-5,ENSG00000198408
131,hsa-miR-101-3p,P00738,ENSG00000111300
132,hsa-miR-376c-3p,P10644,ENSG00000272768
133,hsa-miR-941,P00505,ENSG00000160408
134,hsa-miR-1343-3p,P01859,ENSG00000106799
135,hsa-miR-9985,O60641-1,ENSG00000276054
136,hsa-let-7d-3p,P15241,ENSG00000130208
137,hsa-miR-409-5p,P56556,ENSG00000172992
138,hsa-miR-137-5p,O75914-3,ENSG00000279404
139,hsa-miR-193a-5p,O43707,ENSG00000228382
140,hsa-miR-193b-3p,O60331-3,ENSG00000198483
141,hsa-miR-9-3p,P62841,ENSG00000172554
142,hsa-miR-146b-3p,P10636,ENSG00000006757
143,hsa-miR-200b-3p,P21926,ENSG00000258559
144,hsa-miR-665,Q13126-2,ENSG00000084693
145,hsa-miR-411-5p,O75525-1,ENSG00000214402
146,hsa-miR-24-2-5p,P53677,ENSG00000115107
147,hsa-miR-28-3p,Q13555-5,ENSG00000224097
148,hsa-miR-30e-5p,O43175,ENSG00000075142
149,hsa-miR-32-3p,Q96EQ0,ENSG00000254858
150,hsa-miR-889-3p,P63173,ENSG00000236963
151,hsa-miR-153-5p,P14618-2,ENSG00000086730
152,hsa-miR-532-3p,P29120-1,ENSG00000182054
153,hsa-miR-556-5p,P30622-3,ENSG00000286710
154,hsa-miR-641,Q14956,ENSG00000122490
155,hsa-miR-144-5p,Q16799-1,ENSG00000180592
156,hsa-miR-431-3p,P36871-1,ENSG00000205106
