,microRNA,mRNA,Protein
1,hsa-miR-1296-5p,ENSG00000165092,Q92947-1
2,hsa-miR-940,ENSG00000252316,Q9UI12-1
3,hsa-miR-98-5p,ENSG00000275830,P53680
4,hsa-miR-326,ENSG00000100348,P23434
5,hsa-miR-26a-5p,ENSG00000120457,P62841
6,hsa-miR-874-3p,ENSG00000087111,Q12979
7,hsa-miR-328-3p,ENSG00000105419,P62333
8,hsa-miR-421,ENSG00000279443,P15241
9,hsa-miR-151a-3p,ENSG00000146540,P05067-1
10,hsa-miR-377-5p,ENSG00000180251,Q9BU61-1
11,hsa-miR-129-2-3p,ENSG00000063322,P10636-2
12,hsa-miR-487a-5p,ENSG00000259433,Q92823-5
13,hsa-miR-379-5p,ENSG00000167658,Q9UPV7
14,hsa-miR-454-3p,ENSG00000278615,P00505
15,hsa-let-7f-5p,ENSG00000105438,Q13885
16,hsa-miR-769-3p,ENSG00000273100,O15240
17,hsa-miR-16-5p,ENSG00000276054,P32119
18,hsa-miR-760,ENSG00000160408,Q9UKA9-2
19,hsa-miR-146b-3p,ENSG00000142949,P10636
20,hsa-miR-340-3p,ENSG00000144057,Q92743
21,hsa-miR-3613-5p,ENSG00000241322,Q96ID5
22,hsa-miR-556-5p,ENSG00000168710,P04792
23,hsa-miR-374a-3p,ENSG00000121742,Q8N987-1
24,hsa-miR-148b-5p,ENSG00000140374,P38606
25,hsa-miR-30e-3p,ENSG00000167703,P23526-1
26,hsa-miR-370-3p,ENSG00000089123,O15083
27,hsa-miR-374a-5p,ENSG00000233670,P10644
28,hsa-miR-499a-5p,ENSG00000134533,P42704
29,hsa-miR-331-3p,ENSG00000095321,Q9Y2J2
30,hsa-miR-126-5p,ENSG00000264668,Q9UJ70-2
31,hsa-miR-504-5p,ENSG00000136247,Q15119-1
32,hsa-miR-411-5p,ENSG00000176723,Q9NTX5
33,hsa-miR-671-5p,ENSG00000129749,Q99497
34,hsa-miR-1-3p,ENSG00000026297,P04216
35,hsa-miR-935,ENSG00000204310,O14617-5
36,hsa-miR-1307-3p,ENSG00000116001,Q15149-8
37,hsa-miR-346,ENSG00000247982,P48735
38,hsa-miR-26a-2-3p,ENSG00000197647,P63173
39,hsa-miR-628-5p,ENSG00000171792,O95394-4
40,hsa-miR-2110,ENSG00000261795,P55290-4
41,hsa-miR-379-3p,ENSG00000228382,O60331-3
42,hsa-miR-190a-5p,ENSG00000230537,Q9Y2T3
43,hsa-miR-126-3p,ENSG00000157184,P28482
44,hsa-miR-1180-3p,ENSG00000086730,P52209
45,hsa-miR-149-5p,ENSG00000141086,O15020
46,hsa-miR-590-3p,ENSG00000181350,Q9UHD1
47,hsa-miR-25-3p,ENSG00000171408,P14618-2
48,hsa-miR-193a-5p,ENSG00000198408,P56556
49,hsa-miR-7-5p,ENSG00000169598,P00918
50,hsa-miR-1224-5p,ENSG00000163814,P01859
51,hsa-miR-181d-5p,ENSG00000167100,P35609-2
