,microRNA,Protein,mRNA
0,hsa-miR-19b-3p,Q96JE9-1,ENSG00000140575
1,hsa-miR-668-3p,O60313-2,ENSG00000236279
2,hsa-miR-26b-5p,P17677-1,ENSG00000117335
3,hsa-miR-139-3p,P61981,ENSG00000103034
4,hsa-miR-17-5p,Q02218,ENSG00000152092
5,hsa-miR-323a-5p,P58549,ENSG00000089169
6,hsa-miR-20a-5p,Q13153,ENSG00000101974
7,hsa-miR-15a-5p,P35609-2,ENSG00000105576
8,hsa-miR-590-3p,P68366,ENSG00000109320
9,hsa-miR-19a-3p,Q9BY11,ENSG00000196972
10,hsa-miR-485-5p,Q9H936,ENSG00000135119
11,hsa-miR-504-5p,Q9NR46-2,ENSG00000204851
12,hsa-miR-140-3p,Q9Y2J2,ENSG00000166165
13,hsa-miR-139-5p,P49418,ENSG00000109832
14,hsa-miR-485-3p,Q8N126-2,ENSG00000166448
15,hsa-miR-21-5p,P63027,ENSG00000171224
16,hsa-miR-377-5p,P40123,ENSG00000171456
17,hsa-miR-25-3p,P00918,ENSG00000198604
18,hsa-miR-148b-5p,P40121,ENSG00000149311
19,hsa-miR-885-5p,Q9HCM2,ENSG00000111602
20,hsa-miR-16-5p,O15240,ENSG00000172943
21,hsa-miR-20a-3p,Q96I99-1,ENSG00000162144
22,hsa-miR-433-3p,Q9Y5K8,ENSG00000110148
23,hsa-miR-186-5p,Q14982-4,ENSG00000063015
24,hsa-miR-548ae-5p,P78324,ENSG00000106089
25,hsa-miR-491-5p,P09382,ENSG00000170836
26,hsa-miR-1247-5p,Q9Y617-1,ENSG00000172731
27,hsa-miR-106b-5p,P06733-1,ENSG00000197457
28,hsa-miR-744-5p,P29401,ENSG00000149260
29,hsa-miR-374b-5p,Q9ULU8-1,ENSG00000172020
30,hsa-miR-192-5p,Q96CW1,ENSG00000162975
31,hsa-miR-3613-5p,Q9Y490,ENSG00000100095
32,hsa-miR-548d-5p,O75368,ENSG00000162706
33,hsa-miR-152-3p,Q92558,ENSG00000149179
34,hsa-let-7a-3p,Q9H1K1,ENSG00000062822
35,hsa-miR-32-5p,Q6NV74,ENSG00000163513
36,hsa-miR-148b-3p,P21283,ENSG00000156395
37,hsa-miR-370-3p,Q8N987-1,ENSG00000235961
38,hsa-miR-935,Q8N3J6-3,ENSG00000271614
39,hsa-miR-140-5p,P11137,ENSG00000177425
40,hsa-miR-576-3p,Q96ME1,ENSG00000130643
41,hsa-miR-323b-3p,Q9BV79,ENSG00000187122
42,hsa-miR-1301-3p,Q99946,ENSG00000288062
43,hsa-miR-1180-3p,P07108-5,ENSG00000176406
44,hsa-miR-3065-5p,Q9Y4E6-1,ENSG00000152954
45,hsa-miR-885-3p,P31321,ENSG00000137261
46,hsa-miR-576-5p,Q6H8Q1-5,ENSG00000003402
47,hsa-miR-125a-5p,P38606,ENSG00000100678
48,hsa-miR-548ad-5p,Q9HD34,ENSG00000137076
49,hsa-let-7f-5p,P55809,ENSG00000185088
50,hsa-miR-28-5p,P51649-1,ENSG00000177731
51,hsa-miR-15b-3p,P13716-1,ENSG00000129990
52,hsa-miR-149-5p,P26038,ENSG00000163288
53,hsa-miR-421,O75145-1,ENSG00000270607
54,hsa-miR-374a-5p,Q9BPW8,ENSG00000164600
55,hsa-miR-26a-5p,Q9ULP9,ENSG00000147050
56,hsa-miR-548ay-5p,P16930,ENSG00000105483
57,hsa-miR-5010-3p,P61916,ENSG00000197622
58,hsa-miR-142-5p,Q7L1I2,ENSG00000008735
59,hsa-miR-28-3p,Q96AC1-3,ENSG00000106404
60,hsa-miR-27a-3p,Q02338,ENSG00000198846
61,hsa-miR-487a-5p,Q9UEY8-2,ENSG00000166111
62,hsa-miR-532-5p,O43761,ENSG00000176956
63,hsa-miR-3059-5p,O00584,ENSG00000108684
64,hsa-miR-138-2-3p,Q00796,ENSG00000105649
65,hsa-miR-101-5p,P15311,ENSG00000137766
66,hsa-miR-223-3p,P23526-1,ENSG00000118007
67,hsa-miR-409-3p,P13521,ENSG00000146938
68,hsa-miR-200a-3p,P48059-3,ENSG00000146263
69,hsa-miR-323a-3p,P09471-1,ENSG00000196376
70,hsa-miR-301a-3p,P30041,ENSG00000165985
71,hsa-miR-101-3p,P17612,ENSG00000021645
72,hsa-miR-96-5p,O75251,ENSG00000242173
73,hsa-miR-1277-5p,Q9NQC3,ENSG00000089199
74,hsa-miR-548e-3p,Q01469,ENSG00000188191
75,hsa-miR-1224-5p,Q7Z3B1,ENSG00000054356
76,hsa-miR-29b-3p,Q6VY07,ENSG00000197444
77,hsa-miR-32-3p,O94925-1,ENSG00000186212
78,hsa-miR-99a-5p,O15061-2,ENSG00000180044
79,hsa-miR-363-3p,P63096-1,ENSG00000065413
80,hsa-miR-212-3p,Q9Y4F5,ENSG00000111450
81,hsa-miR-6511b-3p,Q9UQB8,ENSG00000154845
82,hsa-miR-6842-3p,Q9Y2T3,ENSG00000003400
83,hsa-miR-374b-3p,O95299,ENSG00000108947
84,hsa-miR-769-3p,O43759-1,ENSG00000124570
85,hsa-miR-105-5p,P20020,ENSG00000178773
86,hsa-miR-548am-5p,O75746,ENSG00000166801
87,hsa-miR-125b-2-3p,P55327-6,ENSG00000030066
88,hsa-miR-29c-3p,Q15120-2,ENSG00000155093
89,hsa-miR-548ab,Q6UWR7,ENSG00000027075
90,hsa-miR-329-3p,Q9NQ66-1,ENSG00000156298
91,hsa-miR-183-5p,P09960-1,ENSG00000197106
92,hsa-miR-29b-2-5p,Q9NVA2-2,ENSG00000171509
93,hsa-miR-455-3p,Q14289-1,ENSG00000080839
94,hsa-miR-142-3p,Q16864-2,ENSG00000040731
95,hsa-miR-548k,Q13938,ENSG00000115170
96,hsa-miR-499a-5p,P43004-1,ENSG00000008118
97,hsa-miR-6500-3p,P07919,ENSG00000140750
98,hsa-miR-16-2-3p,Q09666-1,ENSG00000135749
99,hsa-let-7e-5p,Q13642-4,ENSG00000100441
100,hsa-miR-132-3p,Q6PCE3,ENSG00000115526
101,hsa-miR-1302,P14854,ENSG00000198001
102,hsa-miR-432-5p,Q99798,ENSG00000125841
103,hsa-miR-409-5p,P21281,ENSG00000175215
104,hsa-miR-374a-3p,Q9BQI5-2,ENSG00000157064
105,hsa-miR-424-5p,Q13449,ENSG00000140853
106,hsa-miR-331-3p,Q14847,ENSG00000119686
107,hsa-miR-212-5p,Q00765,ENSG00000204071
108,hsa-miR-129-5p,Q9UPP5-2,ENSG00000198887
109,hsa-miR-9985,Q16181,ENSG00000100345
110,hsa-miR-1343-3p,P23142-4,ENSG00000187323
111,hsa-miR-146a-5p,Q06830,ENSG00000079841
112,hsa-miR-98-5p,O75380,ENSG00000034053
113,hsa-miR-125b-5p,Q9Y285,ENSG00000167895
114,hsa-miR-195-5p,Q5JTJ3-2,ENSG00000136002
115,hsa-miR-93-5p,Q9Y3A3,ENSG00000172183
116,hsa-miR-522-3p,Q99963,ENSG00000041515
117,hsa-miR-340-5p,Q9NV96,ENSG00000188573
118,hsa-miR-454-3p,Q8TBG9-2,ENSG00000162373
119,hsa-miR-548o-5p,Q01484,ENSG00000240694
120,hsa-miR-548c-5p,O94772-2,ENSG00000150457
121,hsa-miR-155-5p,O75832,ENSG00000160097
122,hsa-miR-144-3p,Q9UI12-1,ENSG00000105376
123,hsa-miR-18a-5p,Q99719-1,ENSG00000055163
124,hsa-miR-329-5p,Q9NYB9,ENSG00000139182
125,hsa-miR-671-3p,Q9P260-2,ENSG00000185274
126,hsa-miR-328-3p,O43768,ENSG00000225978
127,hsa-miR-487b-5p,P14927,ENSG00000130368
128,hsa-miR-190a-5p,P00966,ENSG00000135298
129,hsa-miR-26a-2-3p,P02787,ENSG00000105220
130,hsa-miR-21-3p,O15020,ENSG00000103316
131,hsa-miR-760,Q9Y6I3-1,ENSG00000175352
132,hsa-miR-132-5p,Q9NZ56,ENSG00000131089
133,hsa-miR-342-5p,P31930,ENSG00000077080
134,hsa-miR-361-5p,Q96RL7,ENSG00000096746
135,hsa-miR-301a-5p,Q99962,ENSG00000117598
136,hsa-miR-514a-3p,P11766,ENSG00000110719
137,hsa-miR-130b-3p,P0DMV8,ENSG00000092531
138,hsa-miR-6511a-3p,Q15119-1,ENSG00000166257
139,hsa-miR-301b-3p,Q9Y5L4,ENSG00000179915
140,hsa-miR-2355-3p,Q9H115,ENSG00000160445
141,hsa-miR-125b-1-3p,Q9Y639-5,ENSG00000197081
142,hsa-miR-548au-5p,P09493-5,ENSG00000134986
143,hsa-miR-654-5p,Q01518-1,ENSG00000105409
144,hsa-miR-362-3p,Q12805,ENSG00000106144
145,hsa-miR-940,Q01813,ENSG00000205562
146,hsa-miR-431-3p,Q16718,ENSG00000144445
147,hsa-miR-451a,P52597,ENSG00000067715
148,hsa-miR-30e-3p,P13637-3,ENSG00000140931
149,hsa-miR-1299,Q96ID5,ENSG00000074054
150,hsa-miR-1298-3p,P30049,ENSG00000137218
151,hsa-miR-3085-3p,Q8IVF5-2,ENSG00000197410
152,hsa-miR-487b-3p,Q16643-3,ENSG00000170153
153,hsa-miR-548o-3p,P09104,ENSG00000143013
154,hsa-miR-99b-3p,Q86UY8,ENSG00000105696
155,hsa-miR-130a-3p,P55290-4,ENSG00000125676
156,hsa-miR-200b-3p,Q92796,ENSG00000099308
157,hsa-miR-455-5p,P51911,ENSG00000183150
158,hsa-miR-4454,P52209,ENSG00000173581
159,hsa-miR-1843,Q16799-1,ENSG00000131174
160,hsa-miR-1307-3p,P02751-15,ENSG00000182674
161,hsa-miR-423-3p,P24821,ENSG00000152520
162,hsa-miR-146b-3p,P48735,ENSG00000151778
163,hsa-miR-452-5p,Q9P0V9-2,ENSG00000072832
164,hsa-miR-2110,P17655-1,ENSG00000105419
165,hsa-miR-30a-5p,P51178-1,ENSG00000143952
166,hsa-miR-1228-3p,P02545,ENSG00000281160
167,hsa-miR-3200-3p,Q96EP5,ENSG00000221890
168,hsa-miR-106a-5p,Q9UIW2,ENSG00000072501
169,hsa-miR-770-5p,Q9BUT1-1,ENSG00000125675
170,hsa-miR-137-5p,P05129,ENSG00000138119
171,hsa-miR-664b-3p,P49841-2,ENSG00000148948
172,hsa-miR-30b-3p,Q9BRQ6,ENSG00000170091
173,hsa-miR-664a-3p,O75874,ENSG00000158089
174,hsa-miR-185-3p,Q6NXS1,ENSG00000260918
175,hsa-miR-429,P14618,ENSG00000198909
176,hsa-miR-660-5p,P61970,ENSG00000233705
177,hsa-miR-548a-3p,Q96FW1,ENSG00000139220
178,hsa-miR-30e-5p,Q9Y2A7-2,ENSG00000153266
179,hsa-miR-874-3p,P56181-2,ENSG00000124194
180,hsa-miR-128-1-5p,P48539,ENSG00000189410
181,hsa-miR-23a-3p,Q8NCW5,ENSG00000165973
182,hsa-miR-29a-3p,Q86WG3-3,ENSG00000074317
183,hsa-miR-194-5p,P49189,ENSG00000076108
184,hsa-miR-144-5p,O00571,ENSG00000149582
185,hsa-miR-342-3p,O95831-1,ENSG00000140854
186,hsa-miR-346,P00492,ENSG00000168769
187,hsa-miR-1303,Q5XKP0,ENSG00000013392
188,hsa-miR-191-5p,P60953-1,ENSG00000149305
189,hsa-miR-1185-1-3p,Q9NZ45,ENSG00000241973
190,hsa-miR-1296-5p,Q9H6K5,ENSG00000135472
191,hsa-miR-1306-3p,P35612-1,ENSG00000206579
192,hsa-miR-490-5p,P23763,ENSG00000117154
193,hsa-miR-20b-5p,P22061-2,ENSG00000185518
194,hsa-miR-24-3p,O14810,ENSG00000186297
195,hsa-miR-874-5p,P53041,ENSG00000109046
196,hsa-miR-501-3p,P11177,ENSG00000177542
197,hsa-miR-3912-3p,P32004,ENSG00000142530
198,hsa-miR-10b-5p,Q13367,ENSG00000149575
199,hsa-miR-767-5p,P10809,ENSG00000169169
200,hsa-miR-877-5p,Q12860,ENSG00000112796
201,hsa-miR-4662a-5p,P51659-1,ENSG00000048540
202,hsa-miR-331-5p,P35080-1,ENSG00000248485
203,hsa-miR-184,P14621,ENSG00000123136
204,hsa-miR-3613-3p,Q86YS7-4,ENSG00000269958
205,hsa-miR-375-3p,Q8N573-1,ENSG00000101438
206,hsa-miR-92b-5p,P04075-2,ENSG00000170579
207,hsa-miR-182-5p,P43243,ENSG00000198934
208,hsa-miR-129-2-3p,Q92930,ENSG00000101210
209,hsa-miR-383-5p,Q9Y3C8,ENSG00000276293
210,hsa-miR-671-5p,P80723,ENSG00000198929
211,hsa-miR-889-5p,P18859-2,ENSG00000101596
212,hsa-miR-433-5p,P04792,ENSG00000132004
213,hsa-miR-425-3p,O60331-3,ENSG00000165023
214,hsa-miR-204-5p,O00625,ENSG00000225953
215,hsa-miR-107,P31949,ENSG00000188674
216,hsa-miR-22-3p,Q6F5E8,ENSG00000114423
217,hsa-miR-361-3p,P29966,ENSG00000154917
218,hsa-miR-539-5p,O00483,ENSG00000073331
219,hsa-miR-125a-3p,O95502,ENSG00000184156
220,hsa-miR-362-5p,Q9NSE4,ENSG00000151502
221,hsa-let-7e-3p,P02689,ENSG00000154548
222,hsa-miR-24-1-5p,P20336,ENSG00000175029
223,hsa-let-7i-5p,P36959,ENSG00000176788
224,hsa-miR-3200-5p,P00450,ENSG00000204681
225,hsa-let-7g-5p,O14994,ENSG00000077264
226,hsa-miR-30b-5p,P52566,ENSG00000133639
227,hsa-miR-99a-3p,Q9ULD0,ENSG00000008056
228,hsa-miR-486-5p,Q9P0L2-1,ENSG00000157680
229,hsa-miR-382-5p,Q9BQI0-2,ENSG00000136854
230,hsa-miR-30d-3p,O43402,ENSG00000167654
231,hsa-miR-502-3p,P15882,ENSG00000076864
232,hsa-miR-7-2-3p,Q92686,ENSG00000215041
233,hsa-miR-1-3p,P04040,ENSG00000121905
234,hsa-let-7d-3p,O14745,ENSG00000178607
235,hsa-miR-148a-3p,P36543,ENSG00000006116
236,hsa-miR-651-5p,Q9UPY6,ENSG00000214706
237,hsa-miR-324-3p,P60709,ENSG00000181754
238,hsa-miR-199a-5p,P60903,ENSG00000005379
239,hsa-miR-1277-3p,O00170,ENSG00000159256
240,hsa-miR-543,Q00577,ENSG00000116983
241,hsa-miR-769-5p,Q2M2I8-1,ENSG00000151702
242,hsa-miR-126-5p,Q00839,ENSG00000172890
243,hsa-miR-664a-5p,Q15149-8,ENSG00000157870
244,hsa-miR-487a-3p,Q9Y2J0-1,ENSG00000134574
245,hsa-miR-30a-3p,Q6UXD5-1,ENSG00000104375
246,hsa-miR-151a-3p,P28838,ENSG00000198625
247,hsa-miR-134-5p,Q14515,ENSG00000184905
248,hsa-miR-424-3p,Q9Y2S2-1,ENSG00000104888
249,hsa-miR-143-5p,Q9Y2Q3-1,ENSG00000260328
250,hsa-miR-124-3p,Q8NCB2-3,ENSG00000204052
251,hsa-miR-126-3p,P46459,ENSG00000213468
252,hsa-miR-9983-3p,Q14019,ENSG00000182718
253,hsa-miR-5100,Q9UM19,ENSG00000177663
254,hsa-miR-326,P15154-1,ENSG00000106683
255,hsa-let-7f-2-3p,Q9NZQ3-1,ENSG00000103154
256,hsa-miR-199b-3p,O43157,ENSG00000148841
257,hsa-miR-199a-3p,O43815,ENSG00000178033
258,hsa-miR-641,Q12979,ENSG00000277586
259,hsa-miR-138-5p,O43488,ENSG00000105245
260,hsa-miR-337-5p,P68104,ENSG00000157470
261,hsa-let-7a-5p,Q15700-3,ENSG00000153823
262,hsa-miR-339-5p,Q5JVS0,ENSG00000160447
263,hsa-miR-2681-3p,P19404,ENSG00000073536
264,hsa-miR-324-5p,Q96I24-1,ENSG00000171132
265,hsa-miR-376c-3p,P18206,ENSG00000187800
266,hsa-miR-377-3p,P60201-1,ENSG00000165406
267,hsa-miR-665,P0CG05,ENSG00000100167
268,hsa-let-7f-1-3p,Q92947-1,ENSG00000165494
269,hsa-miR-376b-3p,Q02978,ENSG00000111696
270,hsa-miR-551b-3p,Q9P121-4,ENSG00000182901
271,hsa-miR-143-3p,Q9UHL4,ENSG00000028137
272,hsa-miR-98-3p,P13796,ENSG00000109381
273,hsa-miR-12136,Q9BY67-5,ENSG00000198785
274,hsa-miR-618,Q8ND76,ENSG00000130540
275,hsa-miR-210-3p,Q9BU61-1,ENSG00000169946
276,hsa-miR-4286,P11413-2,ENSG00000267041
277,hsa-miR-873-3p,Q14194-1,ENSG00000197586
278,hsa-miR-1291,O94985-2,ENSG00000120690
279,hsa-miR-24-2-5p,O75061-2,ENSG00000276043
280,hsa-miR-500a-3p,Q8WZA0-2,ENSG00000143502
281,hsa-miR-127-3p,Q14CZ8-1,ENSG00000065526
282,hsa-miR-129-1-3p,P40926,ENSG00000136527
283,hsa-miR-136-5p,P04083,ENSG00000164398
284,hsa-miR-193b-5p,Q08722,ENSG00000132639
285,hsa-miR-542-3p,P06396-3,ENSG00000106100
286,hsa-miR-548aa,Q63ZY3-2,ENSG00000117152
287,hsa-miR-29a-5p,P01112,ENSG00000163032
288,hsa-miR-766-3p,Q9Y5X3,ENSG00000225465
289,hsa-miR-340-3p,Q9Y3Z3,ENSG00000176697
290,hsa-miR-133a-3p,Q08174-2,ENSG00000076928
291,hsa-miR-548t-3p,Q86TV6-2,ENSG00000179335
292,hsa-let-7i-3p,Q8IXS6-2,ENSG00000047056
293,hsa-miR-1249-3p,Q13825,ENSG00000177875
294,hsa-miR-758-5p,P49840,ENSG00000188897
295,hsa-miR-488-3p,Q16186,ENSG00000186462
296,hsa-miR-744-3p,P16070,ENSG00000161638
297,hsa-miR-501-5p,Q9H008-1,ENSG00000162065
298,hsa-miR-200c-3p,P09496-3,ENSG00000134247
299,hsa-miR-497-5p,Q9Y3E7,ENSG00000151718
