,microRNA,Protein,mRNA
0,hsa-miR-668-3p,Q9BY11,ENSG00000279495
1,hsa-miR-20a-5p,P63027,ENSG00000214013
2,hsa-miR-935,Q14982-4,ENSG00000257315
3,hsa-miR-16-5p,O60313-2,ENSG00000251364
4,hsa-miR-19b-3p,Q8N987-1,ENSG00000104365
5,hsa-miR-139-3p,P61981,ENSG00000286314
6,hsa-miR-32-5p,Q8N126-2,ENSG00000115282
7,hsa-miR-590-3p,P13716-1,ENSG00000154124
8,hsa-miR-485-3p,Q13153,ENSG00000233461
9,hsa-miR-19a-3p,P58549,ENSG00000179532
10,hsa-miR-487a-5p,P35609-2,ENSG00000177738
11,hsa-miR-485-5p,Q9Y617-1,ENSG00000140750
12,hsa-miR-15a-5p,Q7Z3B1,ENSG00000287306
13,hsa-miR-499a-5p,P13521,ENSG00000274272
14,hsa-miR-139-5p,Q8N3J6-3,ENSG00000131051
15,hsa-miR-26b-5p,P49418,ENSG00000076928
16,hsa-miR-374b-5p,Q8TBG9-2,ENSG00000206149
17,hsa-miR-504-5p,Q6H8Q1-5,ENSG00000170734
18,hsa-miR-21-5p,Q99962,ENSG00000130699
19,hsa-miR-106b-5p,Q9NR46-2,ENSG00000186001
20,hsa-miR-433-3p,P31321,ENSG00000165689
21,hsa-miR-17-5p,O75368,ENSG00000132780
22,hsa-miR-1247-5p,Q9H1K1,ENSG00000013441
23,hsa-miR-377-5p,Q01518-1,ENSG00000250159
24,hsa-miR-186-5p,Q9P260-2,ENSG00000198625
25,hsa-miR-152-3p,Q13642-4,ENSG00000055609
26,hsa-let-7a-3p,Q8WXF7,ENSG00000179335
27,hsa-miR-148b-5p,Q9BUT1-1,ENSG00000215424
28,hsa-miR-491-5p,Q9ULP9,ENSG00000213445
29,hsa-miR-148b-3p,Q96JE9-1,ENSG00000177917
30,hsa-miR-105-5p,O75380,ENSG00000124224
31,hsa-miR-340-5p,P23526-1,ENSG00000116350
32,hsa-miR-370-3p,P21283,ENSG00000159433
33,hsa-miR-28-5p,Q16718,ENSG00000177595
34,hsa-miR-3613-5p,P51911,ENSG00000118762
35,hsa-miR-744-5p,Q9BV79,ENSG00000225470
36,hsa-miR-28-3p,P07919,ENSG00000274265
37,hsa-miR-432-5p,O75832,ENSG00000270012
38,hsa-miR-421,P17677-1,ENSG00000003402
39,hsa-miR-140-5p,P51649-1,ENSG00000061936
40,hsa-miR-548ay-5p,Q9UPP5-2,ENSG00000071626
41,hsa-miR-1301-3p,P05129,ENSG00000162889
42,hsa-miR-149-5p,Q9NYB9,ENSG00000287431
43,hsa-miR-146b-3p,Q6NV74,ENSG00000060339
44,hsa-miR-1180-3p,P52597,ENSG00000241404
45,hsa-miR-26a-5p,P14854,ENSG00000156218
46,hsa-miR-125a-5p,P29401,ENSG00000030066
47,hsa-miR-101-3p,P61916,ENSG00000099338
48,hsa-let-7f-5p,O75145-1,ENSG00000152518
49,hsa-miR-374a-5p,P04040,ENSG00000122566
50,hsa-miR-192-5p,P29966,ENSG00000158805
51,hsa-miR-32-3p,Q15700-3,ENSG00000273329
52,hsa-miR-383-5p,P14927,ENSG00000130158
53,hsa-miR-671-5p,P43004-1,ENSG00000104731
54,hsa-miR-200a-3p,Q9HD34,ENSG00000136861
55,hsa-miR-3065-5p,Q99946,ENSG00000136378
56,hsa-miR-363-3p,Q9H936,ENSG00000233061
57,hsa-miR-125b-2-3p,P16930,ENSG00000144674
58,hsa-miR-25-3p,Q9Y5L4,ENSG00000223482
59,hsa-miR-374b-3p,P21281,ENSG00000158169
60,hsa-miR-142-5p,Q6F5E8,ENSG00000150637
61,hsa-miR-16-2-3p,O95886,ENSG00000100364
62,hsa-miR-27a-3p,Q9UEY8-2,ENSG00000159086
63,hsa-miR-6511b-3p,Q13449,ENSG00000165121
64,hsa-miR-331-3p,P00918,ENSG00000092531
65,hsa-miR-532-5p,Q02218,ENSG00000133131
66,hsa-miR-301a-3p,P09493-5,ENSG00000100813
67,hsa-miR-24-3p,P17655-1,ENSG00000269940
68,hsa-miR-125b-5p,P48735,ENSG00000237950
69,hsa-miR-409-3p,Q9UM19,ENSG00000176444
70,hsa-miR-29b-2-5p,P55290-4,ENSG00000239887
71,hsa-miR-29c-3p,Q16643-3,ENSG00000213468
72,hsa-miR-223-3p,Q16181,ENSG00000125386
73,hsa-miR-99a-5p,Q9BPW8,ENSG00000134186
74,hsa-miR-454-3p,Q99798,ENSG00000100441
75,hsa-miR-769-3p,Q9H6K5,ENSG00000138621
76,hsa-miR-29b-3p,P11177,ENSG00000241549
77,hsa-miR-129-5p,O95502,ENSG00000047617
78,hsa-let-7e-5p,O94772-2,ENSG00000259462
79,hsa-miR-18a-5p,P11137,ENSG00000197119
80,hsa-miR-374a-3p,P55327-6,ENSG00000158411
81,hsa-miR-767-5p,O95182,ENSG00000285796
82,hsa-miR-362-3p,Q14289-1,ENSG00000135164
83,hsa-miR-140-3p,Q86UY8,ENSG00000258701
84,hsa-miR-155-5p,Q92558,ENSG00000244754
85,hsa-miR-130b-3p,O94985-2,ENSG00000133466
86,hsa-miR-24-1-5p,P11766,ENSG00000011132
87,hsa-miR-9985,O15240,ENSG00000249437
88,hsa-miR-424-5p,P19404,ENSG00000079337
89,hsa-miR-323b-3p,P51659-1,ENSG00000126804
90,hsa-miR-146a-5p,P09382,ENSG00000250208
91,hsa-miR-142-3p,P20336,ENSG00000245849
92,hsa-miR-328-3p,Q01813,ENSG00000054654
93,hsa-miR-30e-3p,P30041,ENSG00000133247
94,hsa-miR-190a-5p,Q9Y3E7,ENSG00000160908
95,hsa-miR-30a-5p,Q6UWR7,ENSG00000104915
96,hsa-miR-195-5p,O15061-2,ENSG00000197168
97,hsa-miR-940,O00571,ENSG00000127947
98,hsa-miR-26a-2-3p,O00625,ENSG00000102786
99,hsa-miR-212-5p,Q01469,ENSG00000269982
100,hsa-miR-660-5p,Q5SRE7-1,ENSG00000187650
101,hsa-miR-106a-5p,P55809,ENSG00000258056
102,hsa-miR-323a-3p,Q00796,ENSG00000120889
103,hsa-miR-98-5p,P32119,ENSG00000158636
104,hsa-miR-760,Q09666-1,ENSG00000161912
105,hsa-miR-144-3p,P00492,ENSG00000020577
106,hsa-miR-200b-3p,Q8WZA0-2,ENSG00000134453
107,hsa-miR-455-5p,P09471-1,ENSG00000188549
108,hsa-miR-151a-3p,Q96ID5,ENSG00000014914
109,hsa-miR-361-5p,Q9H4G0-1,ENSG00000269958
110,hsa-miR-451a,O15020,ENSG00000188603
111,hsa-miR-134-5p,Q5JTJ3-2,ENSG00000196605
112,hsa-miR-342-5p,Q02338,ENSG00000011304
113,hsa-miR-20b-5p,Q96ME1,ENSG00000138772
114,hsa-miR-127-3p,O43813,ENSG00000240230
115,hsa-miR-340-3p,Q86WG3-3,ENSG00000070476
116,hsa-miR-30e-5p,P23763,ENSG00000092929
117,hsa-miR-2110,Q9Y3A3,ENSG00000197594
118,hsa-miR-654-5p,Q8NCW5,ENSG00000183401
119,hsa-miR-129-2-3p,P09497-1,ENSG00000127530
120,hsa-miR-194-5p,O94925-1,ENSG00000067900
121,hsa-miR-191-5p,Q92841,ENSG00000167566
122,hsa-miR-144-5p,Q92796,ENSG00000188385
123,hsa-miR-423-3p,Q9NSD9,ENSG00000143486
124,hsa-miR-212-3p,Q9BY67-5,ENSG00000134013
125,hsa-miR-874-5p,O75251,ENSG00000135111
126,hsa-miR-1843,P60953-1,ENSG00000178404
127,hsa-miR-874-3p,Q9Y2S2-1,ENSG00000119509
128,hsa-miR-3200-3p,Q14847,ENSG00000187800
129,hsa-miR-425-3p,Q08174-2,ENSG00000091592
130,hsa-miR-132-3p,Q13885,ENSG00000070778
131,hsa-miR-346,Q9BQI5-2,ENSG00000091073
132,hsa-miR-10b-5p,Q9UPX8-3,ENSG00000224897
133,hsa-miR-128-1-5p,P35612-1,ENSG00000267041
134,hsa-miR-1307-3p,Q9P0L2-1,ENSG00000258461
135,hsa-miR-130a-3p,Q9NV96,ENSG00000229989
136,hsa-miR-132-5p,P21912,ENSG00000135414
137,hsa-miR-885-5p,P01598,ENSG00000152520
138,hsa-miR-3059-5p,Q9UPY6,ENSG00000137776
139,hsa-miR-184,P04156-1,ENSG00000260942
140,hsa-miR-382-5p,Q9UN86,ENSG00000105287
141,hsa-miR-23a-3p,Q9UHL4,ENSG00000214029
142,hsa-miR-99b-3p,P18206,ENSG00000186635
143,hsa-miR-30a-3p,Q14194-2,ENSG00000214402
144,hsa-miR-1296-5p,Q96EP5,ENSG00000160685
145,hsa-miR-182-5p,Q6VY07,ENSG00000168890
146,hsa-miR-769-5p,O43761,ENSG00000169045
147,hsa-miR-324-5p,P40123,ENSG00000198087
148,hsa-miR-651-5p,P60201-1,ENSG00000124570
149,hsa-miR-125b-1-3p,O00584,ENSG00000184209
150,hsa-miR-338-3p,Q16186,ENSG00000153922
151,hsa-miR-30b-5p,Q15631-1,ENSG00000129933
152,hsa-miR-1-3p,P78371-1,ENSG00000165288
153,hsa-miR-409-5p,Q12979,ENSG00000273247
