"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8"
"RAPGEF4","5.94747332222337e-10","0.00000285240820533833","0.0110042323970758","5","hsa-miR-26b-5p","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","","",""
"ANKRD12","5.55103178241769e-9","0.0000133113742142376","0.0160061562139284","5","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","hsa-miR-140-3p","","",""
"RACGAP1","9.99083493418451e-9","0.0000159720147814496","0.0700269334359369","8","hsa-miR-26b-5p","hsa-miR-590-3p","hsa-miR-140-3p","hsa-miR-15a-5p","hsa-miR-20a-5p","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p"
"RAP2C","2.06583710403688e-8","0.0000247693868774022","0.0543066014401143","7","hsa-miR-26b-5p","hsa-miR-19b-3p","hsa-miR-17-5p","hsa-miR-20a-5p","hsa-miR-19a-3p","hsa-miR-15a-5p","hsa-miR-590-3p",""
"CNOT7","4.68414163737262e-8","0.000032093061846913","0.0112543285879184","4","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","hsa-miR-17-5p","","","",""
"FBXO10","4.68414163737262e-8","0.000032093061846913","0.0112543285879184","4","hsa-miR-20a-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-17-5p","","","",""
"ZNF423","4.68414163737262e-8","0.000032093061846913","0.0112543285879184","4","hsa-miR-26b-5p","hsa-miR-140-3p","hsa-miR-19a-3p","hsa-miR-19b-3p","","","",""
"REEP3","8.64150064882818e-8","0.0000518057963897249","0.0664541307096136","7","hsa-miR-590-3p","hsa-miR-26b-5p","hsa-miR-17-5p","hsa-miR-20a-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-139-3p",""
"PTPRO","9.78588049016924e-8","0.0000521478698120574","0.00500192381685264","3","hsa-miR-17-5p","hsa-miR-26b-5p","hsa-miR-20a-5p","","","","",""
"MAP3K14","1.21999311971091e-7","0.0000585108700213352","0.0137552904963447","4","hsa-miR-20a-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-17-5p","","","",""
"ATG16L1","1.82490496709044e-7","0.0000673249555551211","0.0150057714505579","4","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","","","",""
"CHAF1A","1.82490496709044e-7","0.0000673249555551211","0.0150057714505579","4","hsa-miR-590-3p","hsa-miR-17-5p","hsa-miR-20a-5p","hsa-miR-26b-5p","","","",""
"GAK","1.82490496709044e-7","0.0000673249555551211","0.0150057714505579","4","hsa-miR-20a-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-17-5p","","","",""
"HECA","2.6286481664433e-7","0.0000900499757590148","0.0162562524047711","4","hsa-miR-26b-5p","hsa-miR-17-5p","hsa-miR-20a-5p","hsa-miR-485-5p","","","",""
"CAMTA1","3.66987790045417e-7","0.000103994422964954","0.0175067333589842","4","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","","","",""
"CC2D1A","3.90304339735023e-7","0.000103994422964954","0.00666923175580351","3","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-485-5p","","","","",""
"DMXL2","3.90304339735023e-7","0.000103994422964954","0.00666923175580351","3","hsa-miR-26b-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","","","","",""
"IKZF1","3.90304339735023e-7","0.000103994422964954","0.00666923175580351","3","hsa-miR-26b-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","","","","",""
"ANKIB1","6.63545059515614e-7","0.00015029222805882","0.0200076952674105","4","hsa-miR-17-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","","","",""
"ATG14","6.89413890178074e-7","0.00015029222805882","0.0390150057714506","5","hsa-miR-20a-5p","hsa-miR-15a-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-17-5p","","",""
"FAS","6.63545059515614e-7","0.00015029222805882","0.0200076952674105","4","hsa-miR-504-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-17-5p","","","",""
"RRAS2","6.89413890178074e-7","0.00015029222805882","0.0390150057714506","5","hsa-miR-26b-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-20a-5p","hsa-miR-17-5p","","",""
"KAT2B","8.65299325858898e-7","0.000171067146643085","0.0212581762216237","4","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-26b-5p","hsa-miR-17-5p","","","",""
"TNFRSF11A","8.65299325858898e-7","0.000171067146643085","0.0212581762216237","4","hsa-miR-26b-5p","hsa-miR-19b-3p","hsa-miR-19a-3p","hsa-miR-590-3p","","","",""
