,microRNA
0,hsa-miR-32-5p
1,hsa-miR-19b-3p
2,hsa-miR-20a-5p
3,hsa-miR-139-5p
4,hsa-miR-323a-5p
5,hsa-miR-668-3p
6,hsa-miR-485-3p
7,hsa-miR-139-3p
8,hsa-miR-17-5p
9,hsa-miR-16-5p
10,hsa-miR-26b-5p
11,hsa-miR-148b-5p
12,hsa-miR-499a-5p
13,hsa-miR-19a-3p
14,hsa-miR-485-5p
15,hsa-miR-15a-5p
16,hsa-miR-935
17,hsa-miR-590-3p
18,hsa-miR-487a-5p
19,hsa-miR-20a-3p
20,hsa-miR-106b-5p
21,hsa-miR-491-5p
22,hsa-miR-21-5p
23,hsa-miR-504-5p
24,hsa-miR-1247-5p
25,hsa-miR-548ae-5p
26,hsa-miR-125a-5p
27,hsa-miR-152-3p
28,hsa-miR-433-3p
29,hsa-miR-374b-5p
30,hsa-miR-186-5p
31,hsa-miR-1277-5p
32,hsa-miR-377-5p
33,hsa-miR-200a-3p
34,hsa-let-7a-3p
35,hsa-miR-671-3p
36,hsa-miR-548ad-5p
37,hsa-miR-15b-3p
38,hsa-miR-148b-3p
39,hsa-miR-576-5p
40,hsa-miR-192-5p
41,hsa-miR-25-3p
42,hsa-miR-370-3p
43,hsa-miR-28-3p
44,hsa-miR-105-5p
45,hsa-miR-431-3p
46,hsa-miR-548d-5p
47,hsa-miR-28-5p
48,hsa-miR-32-3p
49,hsa-miR-432-5p
50,hsa-miR-885-3p
51,hsa-miR-1301-3p
52,hsa-miR-532-5p
53,hsa-miR-744-5p
54,hsa-miR-6842-3p
55,hsa-miR-140-3p
56,hsa-miR-140-5p
57,hsa-miR-548ay-5p
58,hsa-miR-340-5p
59,hsa-miR-3065-5p
60,hsa-miR-149-5p
61,hsa-miR-576-3p
62,hsa-miR-363-3p
63,hsa-miR-3613-5p
64,hsa-miR-146b-3p
65,hsa-miR-27a-3p
66,hsa-miR-1180-3p
67,hsa-miR-383-5p
68,hsa-miR-409-3p
69,hsa-miR-1224-5p
70,hsa-miR-101-3p
71,hsa-miR-323b-3p
72,hsa-miR-129-5p
73,hsa-miR-142-5p
74,hsa-let-7f-5p
75,hsa-miR-223-3p
76,hsa-miR-125b-2-3p
77,hsa-miR-101-5p
78,hsa-miR-26a-5p
79,hsa-miR-24-1-5p
80,hsa-miR-421
81,hsa-miR-9985
82,hsa-miR-125b-5p
83,hsa-miR-487b-5p
84,hsa-miR-16-2-3p
85,hsa-miR-24-3p
86,hsa-miR-374a-5p
87,hsa-miR-18a-5p
88,hsa-miR-374b-3p
89,hsa-miR-671-5p
90,hsa-miR-329-5p
91,hsa-miR-429
92,hsa-miR-6511b-3p
93,hsa-let-7e-5p
94,hsa-miR-212-5p
95,hsa-miR-301a-3p
96,hsa-miR-548am-5p
97,hsa-miR-151a-3p
98,hsa-miR-137-5p
99,hsa-miR-323a-3p
100,hsa-miR-155-5p
101,hsa-miR-130b-3p
102,hsa-miR-548k
103,hsa-miR-424-5p
104,hsa-miR-331-3p
105,hsa-miR-548ab
106,hsa-miR-548o-5p
107,hsa-miR-548c-5p
108,hsa-miR-490-5p
109,hsa-miR-1343-3p
110,hsa-miR-767-5p
111,hsa-miR-29b-2-5p
112,hsa-miR-29c-3p
113,hsa-miR-99a-5p
114,hsa-miR-144-3p
115,hsa-miR-142-3p
116,hsa-miR-455-5p
117,hsa-miR-2355-3p
118,hsa-miR-1277-3p
119,hsa-miR-200b-3p
120,hsa-miR-451a
121,hsa-miR-548e-3p
122,hsa-miR-212-3p
123,hsa-miR-132-3p
124,hsa-miR-146a-5p
125,hsa-miR-181b-3p
126,hsa-miR-454-3p
127,hsa-miR-134-5p
128,hsa-miR-3059-5p
129,hsa-miR-548au-5p
130,hsa-miR-5010-3p
131,hsa-miR-30a-5p
132,hsa-miR-20b-5p
133,hsa-miR-106a-5p
134,hsa-miR-29b-3p
135,hsa-miR-769-3p
136,hsa-miR-195-5p
137,hsa-miR-190a-5p
138,hsa-miR-885-5p
139,hsa-miR-132-5p
140,hsa-miR-374a-3p
141,hsa-miR-6511a-3p
142,hsa-miR-30b-3p
143,hsa-miR-129-2-3p
144,hsa-miR-96-5p
145,hsa-miR-1843
146,hsa-miR-328-3p
147,hsa-miR-362-3p
148,hsa-miR-301a-5p
149,hsa-miR-660-5p
150,hsa-miR-128-1-5p
151,hsa-miR-760
152,hsa-miR-340-3p
153,hsa-miR-452-5p
154,hsa-miR-30e-3p
155,hsa-miR-4454
156,hsa-miR-382-5p
157,hsa-miR-5100
158,hsa-miR-338-3p
159,hsa-miR-940
160,hsa-miR-98-5p
161,hsa-miR-144-5p
162,hsa-miR-26a-2-3p
163,hsa-miR-654-5p
164,hsa-miR-130a-3p
165,hsa-miR-1228-3p
166,hsa-miR-182-5p
167,hsa-miR-423-3p
168,hsa-miR-127-3p
169,hsa-miR-409-5p
170,hsa-miR-342-5p
171,hsa-miR-23a-3p
172,hsa-miR-361-5p
173,hsa-miR-191-5p
174,hsa-miR-301b-3p
175,hsa-miR-30e-5p
176,hsa-miR-125b-1-3p
177,hsa-miR-2110
178,hsa-miR-99a-3p
179,hsa-miR-877-5p
180,hsa-miR-3200-3p
181,hsa-miR-514a-3p
182,hsa-miR-143-5p
183,hsa-miR-874-5p
184,hsa-miR-4662a-5p
185,hsa-miR-194-5p
186,hsa-miR-3912-3p
187,hsa-miR-99b-3p
188,hsa-miR-199a-5p
189,hsa-miR-346
190,hsa-miR-199b-3p
191,hsa-miR-199a-3p
192,hsa-let-7f-2-3p
193,hsa-miR-769-5p
194,hsa-miR-425-3p
195,hsa-miR-487b-3p
196,hsa-miR-1299
197,hsa-miR-651-5p
198,hsa-miR-874-3p
199,hsa-miR-3200-5p
200,hsa-miR-10b-5p
201,hsa-miR-30b-5p
202,hsa-miR-27b-3p
203,hsa-miR-548a-3p
204,hsa-miR-770-5p
205,hsa-miR-577
206,hsa-miR-184
207,hsa-miR-30a-3p
208,hsa-miR-522-3p
209,hsa-miR-210-3p
210,hsa-miR-148a-3p
211,hsa-miR-6500-3p
212,hsa-miR-1307-3p
213,hsa-miR-375-3p
214,hsa-miR-433-5p
215,hsa-miR-195-3p
216,hsa-miR-3943
217,hsa-miR-664b-3p
218,hsa-miR-501-3p
219,hsa-miR-133a-3p
220,hsa-miR-143-3p
221,hsa-miR-185-3p
222,hsa-miR-1306-3p
223,hsa-miR-1-3p
224,hsa-let-7f-1-3p
225,hsa-miR-22-3p
226,hsa-miR-361-3p
227,hsa-miR-1303
228,hsa-let-7e-3p
229,hsa-miR-9983-3p
230,hsa-miR-103a-3p
231,hsa-miR-548aa
232,hsa-miR-93-3p
233,hsa-miR-1302
234,hsa-miR-500a-3p
235,hsa-let-7d-3p
236,hsa-miR-889-5p
237,hsa-miR-329-3p
238,hsa-miR-122-5p
239,hsa-miR-1296-5p
240,hsa-miR-656-5p
241,hsa-miR-126-5p
242,hsa-miR-519a-5p
243,hsa-miR-92b-5p
244,hsa-miR-21-3p
245,hsa-miR-33a-5p
246,hsa-miR-24-2-5p
247,hsa-miR-548t-3p
248,hsa-miR-204-5p
249,hsa-miR-1185-1-3p
250,hsa-miR-424-3p
251,hsa-let-7i-3p
252,hsa-miR-138-5p
253,hsa-miR-497-5p
254,hsa-miR-376b-3p
255,hsa-miR-183-5p
256,hsa-miR-30c-1-3p
257,hsa-miR-126-3p
258,hsa-miR-3613-3p
259,hsa-miR-324-5p
260,hsa-miR-125a-3p
261,hsa-miR-873-3p
262,hsa-miR-200c-3p
263,hsa-miR-490-3p
264,hsa-miR-138-2-3p
265,hsa-miR-641
266,hsa-miR-324-3p
267,hsa-miR-665
268,hsa-miR-30d-3p
269,hsa-miR-2113
270,hsa-miR-551b-3p
271,hsa-miR-337-5p
272,hsa-miR-548o-3p
273,hsa-miR-193b-5p
274,hsa-miR-758-5p
275,hsa-miR-542-3p
276,hsa-miR-29a-3p
277,hsa-miR-376c-3p
278,hsa-miR-107
279,hsa-miR-629-5p
280,hsa-miR-29a-5p
281,hsa-miR-766-3p
282,hsa-miR-33b-5p
283,hsa-miR-22-5p
284,hsa-miR-1468-5p
285,hsa-miR-34c-3p
286,hsa-miR-214-3p
287,hsa-miR-543
288,hsa-miR-1298-3p
289,hsa-miR-503-5p
290,hsa-miR-145-3p
291,hsa-miR-3065-3p
292,hsa-miR-625-5p
293,hsa-miR-377-3p
294,hsa-miR-326
295,hsa-miR-501-5p
296,hsa-miR-10a-5p
297,hsa-miR-185-5p
298,hsa-miR-1298-5p
299,hsa-miR-517a-3p
300,hsa-miR-517b-3p
301,hsa-let-7a-5p
302,hsa-miR-98-3p
303,hsa-miR-1249-3p
304,hsa-miR-708-5p
305,hsa-miR-342-3p
306,hsa-miR-488-3p
307,hsa-miR-3085-3p
308,hsa-miR-744-3p
309,hsa-miR-136-5p
310,hsa-miR-29b-1-5p
311,hsa-miR-664a-3p
312,hsa-miR-12136
313,hsa-miR-145-5p
314,hsa-miR-330-3p
315,hsa-miR-124-3p
316,hsa-miR-618
317,hsa-miR-30d-5p
318,hsa-miR-30c-5p
319,hsa-miR-708-3p
320,hsa-miR-4787-3p
321,hsa-let-7g-5p
322,hsa-miR-154-5p
323,hsa-miR-331-5p
324,hsa-miR-224-5p
325,hsa-miR-1179
326,hsa-miR-130b-5p
327,hsa-miR-664a-5p
328,hsa-miR-34a-5p
329,hsa-let-7c-5p
330,hsa-miR-486-5p
331,hsa-miR-34c-5p
332,hsa-miR-488-5p
333,hsa-miR-199b-5p
334,hsa-miR-450a-5p
335,hsa-miR-103a-2-5p
336,hsa-miR-1306-5p
337,hsa-miR-23b-5p
338,hsa-miR-211-5p
339,hsa-miR-219a-5p
340,hsa-miR-378a-3p
341,hsa-miR-423-5p
342,hsa-miR-191-3p
343,hsa-miR-153-3p
344,hsa-miR-455-3p
345,hsa-miR-493-5p
346,hsa-miR-150-5p
347,hsa-miR-30c-2-3p
348,hsa-miR-23c
349,hsa-miR-628-3p
350,hsa-miR-376a-5p
351,hsa-miR-100-5p
352,hsa-miR-134-3p
353,hsa-miR-376a-2-5p
354,hsa-miR-1307-5p
355,hsa-miR-548h-3p
356,hsa-miR-431-5p
357,hsa-miR-4705
358,hsa-miR-362-5p
359,hsa-miR-9-5p
360,hsa-miR-299-5p
361,hsa-miR-9-3p
362,hsa-miR-7-2-3p
363,hsa-miR-34b-3p
364,hsa-miR-6516-3p
365,hsa-miR-450b-5p
366,hsa-miR-1260a
367,hsa-miR-410-3p
368,hsa-miR-124-5p
369,hsa-miR-1248
370,hsa-miR-539-5p
371,hsa-miR-379-3p
372,hsa-miR-29c-5p
373,hsa-miR-378c
374,hsa-miR-1283
375,hsa-miR-93-5p
376,hsa-miR-299-3p
377,hsa-miR-5683
378,hsa-miR-652-3p
379,hsa-let-7d-5p
380,hsa-miR-532-3p
381,hsa-miR-548p
382,hsa-miR-628-5p
383,hsa-miR-889-3p
384,hsa-miR-129-1-3p
385,hsa-miR-412-5p
386,hsa-miR-548z
387,hsa-miR-6803-3p
388,hsa-miR-27b-5p
389,hsa-miR-376c-5p
390,hsa-miR-484
391,hsa-miR-589-5p
392,hsa-miR-1260b
393,hsa-miR-181a-3p
394,hsa-miR-138-1-3p
395,hsa-miR-508-3p
396,hsa-miR-181a-2-3p
397,hsa-miR-491-3p
398,hsa-miR-376a-3p
399,hsa-miR-1270
400,hsa-miR-193a-5p
401,hsa-miR-378a-5p
402,hsa-miR-369-3p
403,hsa-miR-337-3p
404,hsa-miR-519a-3p
405,hsa-miR-181c-3p
406,hsa-miR-493-3p
407,hsa-miR-99b-5p
408,hsa-miR-1291
409,hsa-miR-1197
410,hsa-miR-335-5p
411,hsa-miR-539-3p
412,hsa-miR-345-5p
413,hsa-miR-496
414,hsa-miR-2681-3p
415,hsa-miR-31-5p
416,hsa-miR-876-3p
417,hsa-let-7g-3p
418,hsa-let-7i-5p
419,hsa-miR-17-3p
420,hsa-let-7c-3p
421,hsa-miR-379-5p
422,hsa-miR-153-5p
423,hsa-miR-7977
424,hsa-miR-4286
425,hsa-miR-106b-3p
426,hsa-miR-2277-5p
427,hsa-miR-1185-5p
428,hsa-miR-502-3p
429,hsa-miR-222-3p
430,hsa-miR-1251-5p
431,hsa-miR-95-3p
432,hsa-miR-330-5p
433,hsa-miR-487a-3p
434,hsa-miR-197-3p
435,hsa-miR-137-3p
436,hsa-miR-135a-2-3p
437,hsa-miR-758-3p
438,hsa-miR-654-3p
439,hsa-miR-516a-5p
440,hsa-miR-369-5p
441,hsa-miR-1287-5p
442,hsa-miR-338-5p
443,hsa-miR-339-5p
444,hsa-let-7b-3p
445,hsa-miR-574-5p
446,hsa-miR-7-1-3p
447,hsa-miR-181c-5p
448,hsa-miR-656-3p
449,hsa-miR-365b-3p
450,hsa-miR-365a-3p
451,hsa-miR-1271-5p
452,hsa-miR-582-5p
453,hsa-miR-154-3p
454,hsa-miR-23b-3p
455,hsa-miR-380-3p
456,hsa-miR-339-3p
457,hsa-miR-320d
458,hsa-miR-135b-5p
459,hsa-miR-425-5p
460,hsa-miR-655-3p
461,hsa-miR-370-5p
462,hsa-miR-495-3p
463,hsa-miR-146b-5p
464,hsa-miR-221-5p
465,hsa-miR-376b-5p
466,hsa-miR-320a-3p
467,hsa-miR-3615
468,hsa-miR-7-5p
469,hsa-miR-335-3p
470,hsa-miR-92b-3p
471,hsa-miR-411-5p
472,hsa-miR-873-5p
473,hsa-miR-135a-5p
474,hsa-miR-941
475,hsa-miR-1250-5p
