,Braak
Braak,1.0
hsa-miR-1296-5p,-0.643145794368728
hsa-miR-940,-0.6185284511727522
hsa-miR-98-5p,0.6170786695866192
hsa-miR-326,-0.6088355837526297
hsa-miR-26a-5p,0.6024782375539084
hsa-miR-874-3p,-0.590025814247032
hsa-miR-328-3p,-0.5860817315794586
hsa-miR-421,0.5767626753534059
hsa-miR-151a-3p,0.5676974098289108
hsa-miR-377-5p,-0.5567138237824278
hsa-miR-129-2-3p,-0.5563618955060007
hsa-miR-487a-5p,-0.5555449833321339
hsa-miR-379-5p,0.5530480558089954
hsa-miR-454-3p,0.5527709352665539
hsa-let-7f-5p,0.5491921230049065
hsa-miR-769-3p,-0.5480744140166034
hsa-miR-16-5p,0.5381449273988771
hsa-miR-760,-0.5341203111065962
hsa-miR-146b-3p,-0.5308869535811236
hsa-miR-340-3p,0.530826273568719
hsa-miR-3613-5p,0.5266792441821642
hsa-miR-556-5p,0.5244158481591954
hsa-miR-374a-3p,0.5213139316786675
hsa-miR-148b-5p,0.5199783688863515
hsa-miR-30e-3p,0.5168437877439176
hsa-miR-370-3p,-0.5154893365849634
hsa-miR-374a-5p,0.5134418728622815
hsa-miR-499a-5p,0.5122389498210121
hsa-miR-331-3p,-0.5114265015124725
hsa-miR-126-5p,0.5113275635542212
hsa-miR-504-5p,-0.5113027426705746
hsa-miR-411-5p,0.5106966652832984
hsa-miR-671-5p,-0.510183980599022
hsa-miR-1-3p,0.508204189642431
hsa-miR-935,-0.5061249545203715
hsa-miR-1307-3p,-0.5059412924671703
hsa-miR-346,-0.502953544909598
hsa-miR-26a-2-3p,0.5022376841117925
hsa-miR-628-5p,0.5012896385385581
hsa-miR-2110,-0.5010709794855039
hsa-miR-379-3p,0.49842853091814776
hsa-miR-190a-5p,0.4920275328246949
hsa-miR-126-3p,0.49139984269139725
hsa-miR-1180-3p,-0.4908377909815805
hsa-miR-149-5p,-0.49026742255521766
hsa-miR-590-3p,0.486282802861177
hsa-miR-25-3p,0.48274645857027054
hsa-miR-193a-5p,-0.48222775590479106
hsa-miR-7-5p,0.48086052000313956
hsa-miR-1224-5p,-0.48015366878874166
hsa-miR-181d-5p,0.4753787900257235
hsa-miR-6511b-3p,-0.4744870624512584
hsa-miR-744-5p,-0.472948695398472
hsa-miR-28-5p,0.46937294436502175
hsa-miR-195-5p,0.4683934534638602
hsa-miR-668-3p,-0.4673998499672204
hsa-miR-200a-3p,0.4669905070282929
hsa-miR-429,0.46683315569275613
hsa-miR-153-5p,0.4667346929072636
hsa-miR-132-5p,-0.46656936035637375
hsa-miR-1303,-0.46617753087459035
hsa-miR-146a-5p,0.46521743188209047
hsa-miR-1249-3p,-0.4639136025970445
hsa-miR-3912-3p,0.46066074283381475
hsa-miR-374b-5p,0.46026074038122095
hsa-miR-212-3p,-0.4601523136660014
hsa-miR-30a-3p,0.45934686326366014
hsa-miR-433-3p,-0.45903695892458946
hsa-miR-148b-3p,0.4581691804332362
hsa-miR-1301-3p,-0.4581341364163627
hsa-miR-101-3p,0.45634411506718237
hsa-miR-335-5p,0.456200000877901
hsa-let-7d-3p,-0.455877399690989
hsa-miR-32-5p,0.4543864265413142
hsa-miR-889-3p,0.4534661364086682
hsa-miR-877-5p,-0.45314364911564836
hsa-miR-342-5p,-0.45213343311690724
hsa-miR-335-3p,0.44937463218759605
hsa-miR-338-3p,0.447650715958783
hsa-miR-383-5p,-0.4460563264876016
hsa-miR-9985,0.4456400886993066
hsa-miR-876-3p,0.44413772768225745
hsa-miR-200b-3p,0.44288486574821606
hsa-miR-324-5p,-0.44171646932837627
hsa-miR-548ad-5p,0.4413003456831003
hsa-miR-301b-3p,0.44128341228476375
hsa-miR-29b-3p,0.4410376373412454
hsa-miR-129-5p,-0.4402002894983682
hsa-miR-212-5p,-0.4399821979484615
hsa-miR-548ae-5p,0.43953266529480106
hsa-miR-1343-3p,-0.4393714590791869
hsa-miR-132-3p,-0.43851821492227483
hsa-miR-26b-5p,0.4371528323752556
hsa-miR-192-5p,0.43474282449528184
hsa-miR-431-3p,-0.43370147808180354
hsa-miR-423-3p,-0.4323612021570618
hsa-miR-32-3p,0.430530704731974
hsa-miR-769-5p,-0.42771606353666103
hsa-miR-548ab,0.4256215728561408
hsa-miR-27b-3p,0.4216523669720973
hsa-miR-548d-5p,0.42153295515982975
hsa-miR-218-5p,0.419231372576664
hsa-miR-30e-5p,0.4191180039624622
hsa-miR-548ay-5p,0.4176308658075337
hsa-miR-491-5p,-0.41736031165130155
hsa-miR-24-1-5p,0.41560573071542256
hsa-miR-197-3p,-0.4136033751476346
hsa-miR-28-3p,0.4111595425653169
hsa-miR-361-5p,0.4100361072460099
hsa-miR-194-5p,0.40846658387383655
hsa-miR-1179,0.4066806316002392
hsa-miR-185-3p,-0.4057488531954141
hsa-miR-106b-3p,-0.40564756040637445
hsa-miR-124-5p,-0.40526434016619584
hsa-miR-628-3p,0.40498179253240935
hsa-miR-374b-3p,0.4046116369205422
hsa-miR-514a-3p,0.4042259255913948
hsa-miR-432-5p,-0.4034308951623111
hsa-miR-874-5p,-0.4026189491258855
hsa-miR-193b-3p,-0.4025520141891165
hsa-miR-362-3p,0.4017257193820316
hsa-miR-20a-5p,0.3994513736764609
hsa-miR-9-3p,0.39798068486952143
hsa-miR-6842-3p,-0.39610909834441876
hsa-miR-144-5p,0.3946607018923046
hsa-miR-3200-3p,-0.3942886641466419
hsa-miR-411-3p,0.3938292978358501
hsa-miR-9983-3p,0.3912705689670494
hsa-miR-10b-5p,0.3893749035109544
hsa-miR-137-3p,0.38708202672582526
hsa-let-7a-5p,0.3854037210028758
hsa-miR-6803-3p,-0.3827539802352172
hsa-miR-24-3p,0.38271957415458785
hsa-miR-369-5p,0.38210691332343116
