,ENSG00000117335,ENSG00000236279,Q02218,ENSG00000103034,Label,hsa-miR-17-5p,hsa-miR-668-3p,O60313-2,hsa-miR-19b-3p,hsa-miR-26b-5p,Q96JE9-1,P17677-1,ENSG00000152092,P61981,ENSG00000140575
BBN002_26311,5.195403555681098,4.117062032906558,29.16733012747356,9.047507561854715,0,6.693468733774458,5.799051501631456,29.32913324403544,7.179561317782029,12.526767582401494,29.800954750134903,30.020203062828564,7.951574108522947,31.988217149478643,5.67431461731646
BBN002_26316,5.73065353709078,3.23495582171819,29.276104417163022,8.588126486060684,0,5.200038824766493,7.206827990429132,29.28763218278614,4.551069711598116,12.942345082719596,29.827543439793665,30.11491859436983,7.899353127448829,32.335635562547765,6.212716912610622
BBN002_28350,5.765372610274317,4.691785544010783,29.148105660821816,9.774202622017569,0,6.947116609880301,5.897034136349875,29.16733012747356,7.20905111034272,12.653390010744175,29.69037932089146,29.96885102704038,8.367159742363484,31.90905142708917,5.753273212771369
BBN002_28543,5.930926813028141,4.083299742543599,29.07264410896472,9.802557742398667,1,6.001045257878189,5.79970240093925,29.251685301863,6.354718365279873,12.753212343487832,29.932209184466004,30.981194100940385,8.292407878394922,31.90905142708917,6.227253618075675
BBN002_29087,5.282330180988019,4.922036321116703,29.270023864265017,10.070600529722515,0,5.877759071322489,6.552444575995013,29.404746397978425,6.460345982768384,12.29560325764229,30.03010140014789,30.493758372469312,8.570730468795425,32.267137442141106,4.945947051088816
BBN002_29471,6.456672870917124,2.871527430776926,28.67665500034761,8.436931649001545,0,9.05352932814428,3.938313871596129,28.81568872973012,9.118035220698458,13.933761057579154,29.39820400291445,29.60831831544923,7.291333896753843,31.561157075867012,7.927702123135749
BBN002_30035,5.4488487130731205,4.322084075023241,28.919276757420345,9.606177399501917,0,6.525092543450017,6.525092543450017,29.07264410896472,7.186676325774085,11.8826445480681,29.88155353105312,30.918739252923164,8.041599815119275,32.159281175870994,5.992705012838587
BBN002_30127,5.8480980081947695,4.713754881756389,29.028122462690828,9.779768375495188,1,6.53708300360656,6.721036627337038,29.12899356019371,6.145827918270322,12.537144313573108,29.63369754599984,30.203753859900644,8.187245128130606,32.096245352132634,5.967758652011015
BBN002_30920,5.629292119535504,3.7751119963310247,28.99184690313168,8.900623158685784,0,6.765021466828457,6.342330395006178,29.136290755187588,6.640739130941856,11.89247132591447,29.69037932089146,30.24540986542472,7.690827603277809,32.02704867001262,5.920808053057964
BBN003_26927,5.403616904626873,4.474166163045555,29.232302813289923,9.533796694172818,0,6.790932187385978,5.595544785039747,29.20640459168168,7.459428597582496,12.60291265573727,29.800954750134903,29.96885102704038,8.21834666494293,31.988217149478643,5.09707065777534
BBN003_28569,5.662548050213172,2.6676798716098458,29.05257795610559,8.182905747247482,0,5.589138182813502,5.840676949809467,29.30015884787034,6.358708442411636,12.205109307825792,30.07312081562266,30.493758372469312,7.598257351070949,32.159281175870994,6.614499807568111
