,mRNA
0,ENSG00000128656
1,ENSG00000082458
2,ENSG00000112186
3,ENSG00000104490
4,ENSG00000159164
5,ENSG00000011677
6,ENSG00000084444
7,ENSG00000136521
8,ENSG00000162188
9,ENSG00000160014
10,ENSG00000145362
11,ENSG00000013016
12,ENSG00000126950
13,ENSG00000182013
14,ENSG00000070961
15,ENSG00000166780
16,ENSG00000175175
17,ENSG00000168000
18,ENSG00000105223
19,ENSG00000154277
20,ENSG00000112640
21,ENSG00000117152
22,ENSG00000135503
23,ENSG00000184613
24,ENSG00000005486
25,ENSG00000104723
26,ENSG00000130226
27,ENSG00000151729
28,ENSG00000186462
29,ENSG00000189241
30,ENSG00000070669
31,ENSG00000145632
32,ENSG00000218336
33,ENSG00000106537
34,ENSG00000102003
35,ENSG00000172260
36,ENSG00000109738
37,ENSG00000171132
38,ENSG00000197535
39,ENSG00000174684
40,ENSG00000163818
41,ENSG00000156011
42,ENSG00000198919
43,ENSG00000008086
44,ENSG00000134121
45,ENSG00000198853
46,ENSG00000133878
47,ENSG00000168824
48,ENSG00000277531
49,ENSG00000174938
50,ENSG00000185008
51,ENSG00000152932
52,ENSG00000132872
53,ENSG00000162817
54,ENSG00000077264
55,ENSG00000084764
56,ENSG00000277586
57,ENSG00000106484
58,ENSG00000109670
59,ENSG00000182901
60,ENSG00000186310
61,ENSG00000163328
62,ENSG00000115840
63,ENSG00000198932
64,ENSG00000104365
65,ENSG00000176788
66,ENSG00000058091
67,ENSG00000220205
68,ENSG00000153558
69,ENSG00000081189
70,ENSG00000243232
71,ENSG00000067900
72,ENSG00000241973
73,ENSG00000174469
74,ENSG00000178662
75,ENSG00000132386
76,ENSG00000131089
77,ENSG00000162694
78,ENSG00000197872
79,ENSG00000047056
80,ENSG00000119125
81,ENSG00000286190
82,ENSG00000005810
83,ENSG00000164951
84,ENSG00000143013
85,ENSG00000128335
86,ENSG00000112290
87,ENSG00000148798
88,ENSG00000214013
89,ENSG00000189159
90,ENSG00000055163
91,ENSG00000156642
92,ENSG00000107295
93,ENSG00000198934
94,ENSG00000157680
95,ENSG00000148606
96,ENSG00000107518
97,ENSG00000213190
98,ENSG00000154975
99,ENSG00000184831
100,ENSG00000165434
101,ENSG00000163947
102,ENSG00000165868
103,ENSG00000181754
104,ENSG00000139970
105,ENSG00000068615
106,ENSG00000117245
107,ENSG00000175497
108,ENSG00000257315
109,ENSG00000170091
110,ENSG00000155970
111,ENSG00000064763
112,ENSG00000074054
113,ENSG00000097021
114,ENSG00000152128
115,ENSG00000154917
116,ENSG00000072062
117,ENSG00000240694
118,ENSG00000164885
119,ENSG00000163590
120,ENSG00000224404
121,ENSG00000115419
122,ENSG00000171603
123,ENSG00000213672
124,ENSG00000138814
125,ENSG00000157064
126,ENSG00000196368
127,ENSG00000135324
128,ENSG00000132639
129,ENSG00000147650
130,ENSG00000172575
131,ENSG00000166619
132,ENSG00000075415
133,ENSG00000142655
134,ENSG00000151229
135,ENSG00000137267
136,ENSG00000178741
137,ENSG00000119782
138,ENSG00000085982
139,ENSG00000165023
140,ENSG00000067715
141,ENSG00000104093
142,ENSG00000158258
143,ENSG00000184117
144,ENSG00000127824
145,ENSG00000221823
146,ENSG00000140945
147,ENSG00000086289
148,ENSG00000114279
149,ENSG00000196227
150,ENSG00000152495
151,ENSG00000117600
152,ENSG00000175426
153,ENSG00000164466
154,ENSG00000137726
155,ENSG00000151948
156,ENSG00000010438
157,ENSG00000167815
158,ENSG00000176903
159,ENSG00000136854
160,ENSG00000275004
161,ENSG00000118276
162,ENSG00000111052
163,ENSG00000213424
164,ENSG00000108924
165,ENSG00000147676
166,ENSG00000123570
167,ENSG00000138442
168,ENSG00000178234
169,ENSG00000053372
170,ENSG00000055609
171,ENSG00000166987
172,ENSG00000188674
173,ENSG00000151917
174,ENSG00000154548
