,node
0,Q02218
1,hsa-miR-590-3p
2,ENSG00000152092
3,ENSG00000106089
4,P35609-2
5,ENSG00000101974
6,O60313-2
7,hsa-miR-25-3p
8,ENSG00000204851
9,Q14982-4
10,ENSG00000089169
11,Q9NR46-2
12,Q9BY11
13,hsa-miR-186-5p
14,O15240
15,P00918
16,Label
17,P58549
18,ENSG00000166165
19,ENSG00000110148
20,ENSG00000135119
21,ENSG00000111602
22,ENSG00000063015
23,hsa-miR-148b-5p
24,Q13153
25,Q8N126-2
26,ENSG00000196972
27,hsa-miR-140-3p
28,Q9Y5K8
29,ENSG00000109832
30,P49418
31,hsa-miR-668-3p
32,hsa-miR-15a-5p
33,ENSG00000103034
34,ENSG00000117335
35,hsa-miR-433-3p
36,ENSG00000171456
37,P61981
38,ENSG00000236279
39,ENSG00000166448
40,hsa-miR-485-5p
41,P78324
42,P17677-1
43,P40121
44,hsa-miR-485-3p
45,hsa-miR-377-5p
46,ENSG00000171224
47,ENSG00000162144
48,ENSG00000172943
49,Q9HCM2
50,ENSG00000149311
51,ENSG00000105576
52,P63027
53,hsa-miR-19a-3p
54,P40123
55,Q9H936
56,Q96I99-1
57,ENSG00000140575
58,hsa-miR-548ae-5p
59,Q9Y2J2
60,ENSG00000198604
61,ENSG00000109320
62,Q96JE9-1
63,hsa-miR-885-5p
