,Protein
0,P63027
1,Q8N987-1
2,Q9NR46-2
3,Q9BY11
4,O60313-2
5,Q8N126-2
6,P61981
7,Q14982-4
8,Q99962
9,P35609-2
10,P49418
11,P13716-1
12,P58549
13,Q8N3J6-3
14,Q9H1K1
15,Q9P260-2
16,Q9Y617-1
17,O75368
18,P51649-1
19,Q13642-4
20,P61916
21,P21283
22,P30041
23,P31321
24,Q7Z3B1
25,Q9BV79
26,Q13153
27,Q16718
28,Q9UPP5-2
29,Q6H8Q1-5
30,Q9NYB9
31,P17677-1
32,Q6NV74
33,P52597
34,P55327-6
35,Q9BUT1-1
36,P13521
37,Q8TBG9-2
38,Q9HD34
39,P55809
40,O75251
41,P51911
42,P21281
43,Q16643-3
44,O75832
45,P05129
46,P14854
47,Q96JE9-1
48,O94772-2
49,P16930
50,P29401
51,P43004-1
52,Q5JTJ3-2
53,P23526-1
54,Q01518-1
55,Q9UEY8-2
56,Q9ULP9
57,P04040
58,P07919
59,P14927
60,P11137
61,P49841-2
62,Q16181
63,O75145-1
64,O75380
65,P00918
66,Q8WXF7
67,O00625
68,O00571
69,O15240
70,Q01469
71,P51659-1
72,O95502
73,Q6F5E8
74,Q15700-3
75,Q99946
76,Q9NV96
77,Q96ID5
78,Q9H936
79,P32119
80,Q14847
81,O14810
82,Q9Y5L4
83,Q13885
84,O75061-2
85,O94985-2
86,Q6UWR7
87,Q92558
88,Q9Y3A3
89,Q13449
90,P29966
91,P48735
92,P18206
93,Q86YS7-4
94,Q9Y3E7
95,Q9UN86
96,P31949
97,P04156-1
98,P49840
99,P01598
100,P11766
101,Q02218
102,Q92796
103,Q9HCM2
104,P19404
105,P55290-4
106,Q14019
107,P17655-1
108,Q9UPY6
109,Q9UHL4
110,Q86WG3-3
111,P23763
112,Q99798
113,P20336
114,P11177
115,P09493-5
116,Q00796
117,P00492
118,O95299
119,P35080-1
120,P40123
121,Q12979
122,Q9H6K5
123,Q8NCW5
124,Q92686
125,P62805
126,Q9BPW8
127,Q86UY8
128,P09104
129,Q99963
130,O15020
131,Q02338
132,P09471-1
133,P09382
134,Q14194-2
135,Q9Y3Z3
136,O15061-2
137,Q8WZA0-2
138,Q13613-1
139,O95886
140,Q9BY67-5
141,Q15631-1
142,Q9UK76-2
143,Q9P0L2-1
144,P53041
145,O15511-1
146,P28838
147,Q08174-2
148,Q96C19
149,P24821
150,Q96ME1
151,O43761
152,P52594-4
153,Q8IXS6-2
154,P60709
155,P68366
156,O00170
157,Q14289-1
158,O95831-1
159,O43768
160,P32004
161,Q5SRE7-1
162,Q9Y2S2-1
163,Q9Y2T3
164,O14576-2
165,P09496-3
166,Q01813
167,Q16186
168,Q9UII2-1
169,O43488
170,P30043
171,Q96AC1-3
172,O43813
173,P09110-1
174,Q08209-1
175,P01024
176,Q9NZ56
177,P48059-3
178,P60880
179,P48506
180,Q9NZ45
181,Q96EP5
182,O94905-1
183,P63096-1
184,P46976-1
185,P07355-2
186,Q9NSD9
187,P14618
188,Q6PCE3
189,Q9NVA2-2
190,Q8N6N7
191,P13796
192,O43157
193,Q5XKP0
194,O00584
195,P46379-3
196,Q16864-2
197,P60201-1
198,O94925-1
199,O95182
200,Q09666-1
201,O75781
202,Q9BQI0-2
203,Q6UXD5-1
204,Q7L1I2
205,Q14515
206,Q9BRQ6
207,Q9UM19
208,P78324
209,Q9P1Y5-2
210,P11216
211,Q9NWV8
212,P08670
213,Q9NQC3
214,P08237-3
215,Q9UQB8
216,O14964
217,Q9UPX8-3
218,Q96MZ0
219,Q9ULU8-1
220,P40121
221,P09497-1
222,P09936
223,P68036
224,Q9BQI5-2
225,Q9P121-4
226,Q9BU61-1
227,P30153
228,Q9UF11-2
229,P31930
230,O14974
231,Q6VY07
232,P50213-1
233,Q13875-4
234,O95336
235,P01112
236,Q16762
237,P01019
238,Q92930
239,P35612-1
240,Q16566
241,Q00839
242,P48539
243,O00533-2
244,O95670-1
245,P05023
246,Q8N4C8-1
247,O43815
248,P60953-1
249,Q6YN16
250,P0C0L4-1
251,P43243
252,P30049
253,P09874
254,P68104
255,Q16527
256,Q9HA64
257,Q00765
258,P15311
259,P10809
260,P07384
261,P60033
262,P62942
263,P22061-2
264,Q9H4G0-1
265,Q9NQX3-2
266,Q96PY5-3
267,P02751-15
268,Q9Y4C0-4
269,P02787
270,Q6ZVM7
271,Q01484
272,Q9ULD0
273,P20020
274,Q3MHD2-2
275,O76041-2
276,Q9Y2J2
277,Q16851
278,Q04637-9
279,Q99719-1
280,Q14194-1
281,Q9UJD0
282,P15882
283,Q9UQ16-3
284,Q8IVF5-2
285,O43181
286,P21912
287,Q15334
288,P80723
289,P07108-5
290,Q86TV6-2
291,O75525-1
292,O75323-1
293,Q92841
294,P51858
295,Q15773
296,Q96I99-1
297,Q15223
298,P45985-2
299,Q92752
300,P78371-1
301,P13284
302,Q9Y5K8
303,Q92974
304,P21695-1
305,Q9Y6I3-1
306,Q13616
307,P60660
308,Q9NZZ3
309,P00450
310,O43301
311,P24534
312,Q13938
313,Q9H008-1
314,P18433
315,Q9Y639-5
316,P30042-1
317,O94811
318,P46781
319,O75746
320,Q9Y4F5
321,Q9P0V9-2
322,Q92905
323,P12277
324,Q03154-1
325,P26038
326,Q9BXS5-2
327,P30519
328,Q9UBS5-1
329,Q6DN90-1
330,Q5TF21
331,P56211
332,O95757
333,O94967-4
334,P61970
335,Q9UIW2
336,P02774-3
337,Q8N3V7-1
338,Q9Y285
339,P51149
340,P00966
341,Q9H4M9
342,P21333
343,Q08495-1
344,P30048
345,O14745
346,P01861
347,O00217
348,Q14141-1
349,Q969G5
350,Q96AE4-2
351,Q92823-5
352,Q9UDY4
353,Q9Y3A5
354,Q14699
355,Q96Q05-2
356,Q9H2M9
357,Q5T5P2-1
358,Q9UK22
359,P02689
360,Q9Y490
361,Q9GZZ9-1
362,Q6UUV9-2
363,P06744
364,P05165-1
365,P04080
366,Q9UQ03-1
367,Q9UMX0-1
368,O14994
369,P37837
370,P11233
371,Q8N573-1
372,P09493-8
373,P0C7P0
374,P62314
375,Q9BXF6
376,P36543
377,Q86UL8-1
378,Q7Z6L0-2
379,Q9Y2I1-1
380,P13804-1
381,Q9UPV7
382,Q16775-2
383,P42025
384,Q96HS1-1
385,P52943
386,Q96D71
387,Q12805
388,Q9Y4G8
389,P04075-2
390,P38606
391,Q04917
392,P13637-3
393,Q06830
394,Q9Y4G6
395,Q08170
396,Q12860
397,Q4G176
398,Q15149-8
399,P34896-1
400,Q13126-2
401,P60953
402,Q6GMV3
403,P02675
404,P28161
405,Q9Y4E6-1
406,P31150
407,Q9BPX5
408,P56181-2
409,Q9Y265
410,P09960-1
411,Q9NVD7
412,P19784
413,Q6L8Q7-1
414,Q14956
415,P14543-1
416,Q9NQ66-1
417,O43678
418,P62318
419,P01116-2
420,P20591
421,Q96FE5
422,P49407-1
423,P29218-3
424,Q9Y2J8
425,Q5JVS0
426,Q15811
427,P08621-1
428,P02545
429,P18859-2
430,P38646
431,Q8WUW1-2
432,Q8N5S9
433,P14649
434,O14548
435,Q9Y2J0-1
436,P01620
437,P36871-1
438,Q14123-3
439,O14950
440,Q8N568-3
441,Q9GZV7
442,P49593
443,Q15119-1
444,Q96CM8-2
445,Q13491-4
446,P02671-1
447,P06733-1
448,P07954
449,P23434
450,Q9HCH3
451,Q9H019-1
452,P10636-4
453,O60861-3
454,Q14247-3
455,Q9Y6T7-1
456,P17612
457,O00442
458,O95834-3
459,Q9UPR5
460,P36873-2
461,O75874
462,P09493-4
463,O60888-2
464,O95081
465,Q96FZ7
466,P49189
467,P08603-1
468,Q14894
469,P05090
470,O00487
471,P29762
472,O00299
473,P35611-4
474,Q96FW1
475,P02679
476,P52209
477,Q8NBN7
478,Q9NZR1
479,P21399
480,Q96EQ0
481,C9JLW8
482,Q9NQW7-3
483,Q06323-1
484,Q9H993
485,P35579-1
486,O60220
487,P11142-1
488,Q15493-1
489,P05556-1
490,P63279
491,P01871-2
492,O14531
493,P62280
494,Q86XD5-3
495,Q9UI08-2
496,Q9NPJ3-1
497,P30040-1
498,Q13162
499,P36959
500,Q8TDC3-2
501,Q13418
502,Q96CN7
503,Q96DB2
504,P50453
505,P01009-1
506,Q9BZE9-2
507,P01876
508,O75947-1
509,Q01968-1
510,Q96FC7
511,Q9Y305-1
512,O00451-1
513,P01766
514,Q9Y2A7-2
515,P30044-1
516,P51114-1
517,Q8NI08
518,P02763
519,P38919
520,P08238
521,Q9H0Q0
522,P09525
523,P23142-4
524,Q02156
525,P10636
526,Q9NPH2
527,O76003
528,P10644
529,P04083
530,Q9H1X3-3
531,Q16698
532,Q9UNN5-1
533,Q6IBS0
534,P05141
535,Q13813-3
536,Q13509
537,Q96I24-1
538,Q8WZ74
539,Q01995
540,Q14254
541,Q9Y5X3
542,O14617-5
543,Q6UWE0
544,Q8NCB2-3
545,O75891-3
546,Q8NBF6-1
547,P43897
548,Q00535
549,Q6IPX3-1
550,O60884
551,Q13867
552,Q8N8N7-1
553,Q6UWY5
554,P01860
555,B9A064-1
556,P61011-1
557,P14621
558,P21926
559,Q9UBQ7
560,P62854
561,O14558
562,P0C0L5
563,Q9BTE6-3
564,Q9Y6R1-5
565,Q9BZZ5-4
566,Q02410
567,P13473-3
568,Q8NFU3-4
569,P27987
570,O00505
571,P59998-3
572,Q15904
573,Q9C0H9-5
574,P50570-4
575,Q9UBV8
576,P14415
577,O15394
578,Q5T5C0-1
579,P49419-2
580,Q96DE0
581,Q9HB07
582,C9J069
583,P16219
584,Q9Y2Q3-1
585,Q9UMX5
586,Q9Y3B8-1
587,P51888
588,Q9HBL0
589,Q9Y3C8
590,Q9UMY4-1
591,Q9UHD1
592,O00483
593,P35237
594,Q8TB36
595,Q9NUU7
596,Q96P47-4
597,P78318
598,P51884
599,P29120-1
600,O14530
601,Q92783
602,P51178-1
603,Q9H3S7
604,P40925-3
605,P06576
606,Q8WW12
607,P68400
608,Q96FQ6
609,P40926
610,P00403
611,P52566
612,Q9P1F3
613,Q14CZ8-1
614,P30419
615,P46736
616,Q9UKY7
617,Q15746-1
618,P01303
619,P63172
620,P42330
621,P62837
622,P60903
623,O75223-1
624,Q14696
625,P00352
626,P10768
627,O43399-7
628,Q9UL25
629,P42224-1
630,P05166-2
631,P50395-1
632,Q00577
633,Q8IWA5-2
634,P55884-2
635,O43432-3
636,P0C0S5
637,P46459
638,Q96SB3
639,Q5SW79-1
640,P16615
641,O15034-1
642,O00264
643,P37802-2
644,O00159-1
645,P02766
646,Q9Y383
647,Q10713
648,O60826
649,P12110
650,Q13151
651,Q92947-1
652,P61158
653,Q86UW7
654,Q9UHD9
655,P06307
656,P48728
657,O14986-2
658,P19338
659,P00488
660,O00154
661,Q9H115
662,Q96KR1
663,P36955
664,O00410-3
665,P11476-1
666,Q8ND76
667,Q9P253
668,Q9Y5P6-2
669,O60784-2
670,Q9HC56
671,Q9P0L0
672,P09211
673,Q9NZQ3-1
674,P13611-2
675,Q01814
676,Q09019
677,Q9NSE4
