,Braak
Braak,1.0
Q92947-1,-0.5398124411354455
Q9UI12-1,-0.5254494515675163
P53680,-0.522643247414086
P23434,-0.5163083974036483
P62841,-0.5073643336476692
Q12979,-0.4991129304905696
P62333,0.49828484344913304
P15241,0.48976996416586654
P05067-1,0.483546764038626
Q9BU61-1,-0.4809944006998868
P10636-2,0.47177136026930216
Q92823-5,-0.46517862835473434
Q9UPV7,-0.45915469599827513
P00505,-0.45158077514275646
Q13885,-0.444182037712287
O15240,-0.4383030872307382
P32119,0.4343728656228885
Q9UKA9-2,0.43361929544292027
P10636,0.43204496877794224
Q92743,0.43153593040943405
Q96ID5,-0.4243475837043992
P04792,0.4204828829981824
Q8N987-1,-0.42003036627548035
P38606,-0.413704877498601
P23526-1,0.40890370803850545
O15083,0.4074107189907257
P10644,0.4053290733915339
P42704,-0.40470460053908003
Q9Y2J2,-0.40455560603922636
Q9UJ70-2,0.40058544182440975
Q15119-1,-0.39553998326969414
Q9NTX5,0.3941170079025645
Q99497,0.3940054869799893
P04216,-0.3909525375399786
O14617-5,-0.39011618430214573
Q15149-8,0.3894146383947572
P48735,-0.38928034195987704
P63173,-0.3889809411356945
O95394-4,0.3879817264731208
P55290-4,-0.3877432744814523
O60331-3,-0.38659250796557193
Q9Y2T3,-0.38643387592823725
P28482,0.3861536599891761
P52209,0.38485194084869345
O15020,-0.38335998722788756
Q9UHD1,0.38297621145370486
P14618-2,0.3827047933113717
P56556,-0.3823700245681111
P00918,0.3820982909202617
P01859,0.38185406165670915
P35609-2,-0.38027186150309117
P14550,0.3794603524574946
O75525-1,-0.3773506535340554
Q00610-1,-0.376256690064847
P42658-2,-0.37547942599412104
O75368,0.37466838185621165
P60953,-0.37308996734982824
Q9P0V9-2,0.3726534765378601
Q9Y5K8,-0.37240539481809
P12814-3,-0.3723340191573926
Q9UMX0-1,-0.3713592123424586
Q9BRX8-1,-0.37127797301406784
Q99719-1,-0.36986358425589627
P30086,-0.36967431804174566
P12235,-0.3685128676782392
O43707,-0.366692805117904
Q8ND76,-0.3664161879113785
P49802-1,-0.3658858062560956
Q14956,0.36558657102075803
P40123,-0.36554140638223337
Q9BUT1-1,0.3650590912238502
P50135,0.3644588604698177
P49189,0.3635861052112373
P14136,0.36329220045327865
Q9NQ66-1,-0.3588680774033588
O43157,0.3579787115842161
Q06830,0.35795935061560746
P17655-1,0.3571413993692568
Q16555-1,-0.3562282159691708
Q86UX6,-0.3554704497145137
P61026,-0.35530784895212497
P49419-2,0.3551828577883081
O75914-3,-0.3551259919397461
Q9Y285,-0.3548972662416103
Q9UEY8-2,0.3543896952548372
P11177,-0.35437586129622506
P68366,-0.3536762211474407
P12036,0.3508560265644853
P0C0L4-1,0.3503104781651704
Q5SRE7-1,0.35022288865397166
P13489,0.3495499763273405
O75390,-0.34879281277244745
O14986-2,0.34635114837085135
P49591,0.34570834525726535
Q9Y265,0.3452904316739419
Q9UK22,0.34501349438702983
P13284,0.34480448700115074
Q9Y2J0-1,-0.3438358786422405
P60201-1,0.3433741642565876
Q9UQ16-3,-0.3428982890845274
P48539,-0.34113608219922287
P46783,-0.3411350472452532
Q9Y4E6-1,-0.3411128094121774
Q8N126-2,-0.3393849622359135
P78324,-0.3387739041729043
Q9NQC3,-0.3384894612166389
Q16864-2,-0.33806462908571255
Q96PU8-3,0.3380450341516909
P60709,-0.33719036199547264
Q9HD34,-0.3360021734949358
Q13542,-0.3355213324124528
P09622,-0.33539365091625667
Q16799-1,-0.3353343316104793
Q9ULP9,-0.3340595623560091
P06733-1,0.33297104815385936
P21926,0.3321382376141903
O14745,0.33158396442841115
Q9HCH3,-0.33094251350637005
Q9Y2J8,0.329607234845222
P48444,0.3291603826969419
P59665,0.3279496438743117
Q15334,0.32741529981935236
Q8IV08,0.32699365550063214
Q9Y4G6,-0.32626911790131946
O15075-1,-0.3260534931403721
P15259,0.32581220635665037
O95502,-0.32534412378780414
Q8WXF7,-0.32325323550606644
Q15019-2,0.3218005974629134
P10451-5,0.32062904955481897
Q9NR46-2,-0.32023473157306287
P10809,-0.3200037502122625
O75061-2,-0.3196269848417257
Q9BQI5-2,-0.3189416143384698
P10768,0.3188742531706533
Q8WZA0-2,0.3180724164845336
Q01518-1,0.317123453843343
P00738,0.3166387180367284
Q9NVA2-2,-0.3163495672440814
P51784,-0.3160229189894751
P21695-1,0.315922686640129
P05166-2,-0.3152549583494861
O00299,0.3151209354639946
Q13126-2,0.31489956595455054
P53677,-0.31485722712247655
Q14353-1,0.31472288553730793
O43776,0.3145558665342048
O43813,0.3143557166403153
Q86WU2,0.31357958577343803
O60641-1,-0.3127250980147043
Q96CW1,-0.31240832858236267
Q02218,-0.3121756580982702
P30622-3,0.311630707422765
Q9Y3C8,0.3104255274980281
P29120-1,-0.3100382441899158
Q96MZ0,-0.3095849782154961
P01857,0.30933763923128665
O60861-3,-0.30916944755800635
P01598,0.3083239203006939
O14974,-0.3081820875384643
P30519,-0.3079499570296751
Q9BY11,-0.30762240180946854
