,NodesPerBlock,Config,Selection Method,NodeCount,EdgeCount,Accuracy,Precision,Recall,F1Score
0,5.0,Config(wb),OnPLs,16.0,31.0,0.75,0.7095238095238094,0.6714285714285715,0.6698901098901098
1,5.0,Config(wb),Correlation,16.0,24.0,0.8833333333333334,0.95,0.8571428571428571,0.8893772893772894
2,5.0,Config(wb),Random,16.0,17.0,0.5833333333333333,0.6166666666666666,0.3571428571428571,0.4430769230769231
3,5.0,Config(wb),Random,16.0,34.0,0.7333333333333333,0.6742857142857143,0.5380952380952381,0.5786080586080586
4,5.0,Config(wb),Random,16.0,29.0,0.7833333333333334,0.6876984126984127,0.9714285714285712,0.781984126984127
5,5.0,Config(wb),Random,16.0,23.0,0.75,0.8428571428571429,0.680952380952381,0.6980885780885782
6,5.0,Config(wb),Random,16.0,13.0,0.7333333333333333,0.7566666666666666,0.7095238095238094,0.6923742923742924
7,5.0,Config(wb),OnPLs,16.0,31.0,0.75,0.7095238095238094,0.6714285714285715,0.6698901098901098
8,5.0,Config(wb),Random,16.0,27.0,0.6833333333333333,0.74,0.5809523809523809,0.5969408369408369
9,5.0,No Config,Random,16.0,40.0,0.7166666666666667,0.8766666666666667,0.5238095238095237,0.6313131313131313
10,5.0,No Config,Random,16.0,39.0,0.55,0.5900000000000001,0.3,0.3681818181818181
11,5.0,Config(wb),Random,16.0,30.0,0.7333333333333333,0.7533333333333334,0.6047619047619047,0.658088578088578
12,5.0,Config(wb),Random,16.0,25.0,0.55,0.6619047619047619,0.4,0.4424242424242425
13,5.0,Config(wb),Random,16.0,26.0,0.7166666666666667,0.7666666666666667,0.5857142857142857,0.6184926184926185
14,5.0,Config(wb),Random,16.0,18.0,0.7333333333333334,0.7761904761904762,0.6666666666666667,0.6635642135642136
15,5.0,Config(wb),Random,16.0,23.0,0.6166666666666667,0.613095238095238,0.5809523809523809,0.5533766233766234
16,5.0,Config(wb),Random,16.0,21.0,0.7833333333333334,0.6876984126984127,0.9714285714285712,0.781984126984127
17,5.0,Config(wb),Random,16.0,19.0,0.6833333333333332,0.7333333333333333,0.419047619047619,0.5187878787878788
18,5.0,Config(wb),Random,16.0,27.0,0.6666666666666666,0.8,0.2952380952380952,0.4288888888888889
19,5.0,Config(wb),Random,16.0,28.0,0.7333333333333334,0.7857142857142858,0.7095238095238096,0.6855921855921855
