,NodesPerBlock,Computed_EdgeCount,Computed_NodeCount,Real_EdgeCount,Real_NodeCount,Matches,MatchCount,Selection Method,Configuration,StructureLearningMethod
0,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
1,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
2,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
3,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
4,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
5,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
6,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
7,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
8,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
9,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
10,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
11,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
12,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
13,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
14,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
15,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
16,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
17,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
18,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
19,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
20,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
21,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
22,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
23,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
24,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
25,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
26,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
27,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
28,10.0,34.0,30.0,2.0,4.0,"[('P61981', 'P63027')]",1.0,OnPLs,No Config,HillClimb
